app_id,app_name,sentiment,review_original,review_tokenized,timestamp
107410,Arma 3,positive,ㅎ,ㅎ,2021-01-17 02:34:03
107410,Arma 3,positive,님들 그냥 심심하고 그냥 기체 기동하고싶으면 하셈 그떄하면 재미있음 팀원애들은 드럽게 말안들음 ㄹㅇ 암걸려요,님들 그냥 심심하고 그냥 기체 기동 하고싶으면 하 셈 그 떄 하 면 재미있음 팀 원 애 들 은 드럽게 말안 들음 ㄹㅇ 암 걸려요,2021-01-16 13:43:01
107410,Arma 3,positive,아주 재밌는게임,아주 재밌는 게임,2021-01-15 12:25:43
107410,Arma 3,positive,그래픽이나 군사 퀄리티 같은건 뛰어나다 게임자체는 나쁘지 않다 근데 난 어려워서 못하겠어....,그래픽 이나 군사 퀄리티 같은건 뛰어나다 게임 자체 는 나쁘지 않다 근데 난 어려워서 못 하겠어 ....,2021-01-13 00:02:43
107410,Arma 3,positive,good!,good !,2021-01-11 18:58:13
107410,Arma 3,positive,어렵다 어려워...,어렵다 어려워 ...,2021-01-10 02:28:27
107410,Arma 3,positive,방구석 군대체험,방 구석 군대 체험,2021-01-09 21:37:20
107410,Arma 3,positive,good,good,2021-01-08 21:58:29
107410,Arma 3,positive,ㅇㅇ,ㅇㅇ,2021-01-08 12:19:25
107410,Arma 3,positive,찍먹하려고 살꺼면 사지마세요 캠패인은 지나치게 불친절하고 버그 많고 정상적인 방법으로 깰수 없는부분이 있습니다. 대부분 멀티하는사람들도 캠패인은 거르고 하니깐 스토리 보려고 한다면 콜옵사세요. 서버에서 전투시간보다 이동하고 대기하는시간이 더 많은게임입니다. 박진감 넘치는걸 원하면 주소 잘못찾았습니다. 나온지 오래된 게임이라 기본적으로 모션이 너무 구리고 표면만 한글화이고 내부는 싹다 불편하게 영어입니다. 게임이 그냥 불편하고 pvp서버는 없고 죄다 친목질pve지만 그래도 뉴비에 대한 개방성은 있어서 자신이 친목질을 견딜수 있으면,찍 먹하려고 살꺼면 사지 마세요 캠 패인 은 지나치게 불친절하고 버그 많고 정상 적 인 방법 으로 깰수 없는 부분 이 있습니다 . 대부분 멀티 하는 사람 들 도 캠 패인 은 거르 고 하 니깐 스토리 보려고 한다면 콜옵 사세요 . 서버 에서 전 투시 간 보다 이동 하고 대기 하는 시간 이 더 많은 게임 입니다 . 박진 감 넘치는걸 원하면 주소 잘 못 찾았습니다 . 나온지 오래된 게임 이라 기본 적 으로 모션 이 너무 구리 고 표면 만 한글화 이고 내부 는 싹 다 불편하게 영어 입니다 . 게임 이 그냥 불편하고 pvp 서버 는 없고 죄다 친목질 pve 지만 그래도 뉴비 에 대한 개방 성은 있어서 자신 이 친목질 을 견딜수 있으면,2021-01-08 02:55:37
107410,Arma 3,positive,holy jesus,holy jesus,2021-01-07 20:34:40
107410,Arma 3,positive,공섭에 재미없게 진지빨고 하는 애들 게임에서 그럴거면 입대해서 진지공사나 했으면 좋겠다.,공 섭 에 재미없게 진지 빨 고 하는 애 들 게임 에서 그럴거면 입대 해서 진지 공사 나 했으면 좋겠다 .,2021-01-05 19:02:33
107410,Arma 3,positive,재밌음 현실적임,재밌음 현실 적임,2021-01-05 18:11:29
107410,Arma 3,positive,멀티 시작 잘 하면 ㅈ꿀잼,멀티 시작 잘 하면 ㅈ 꿀잼,2021-01-05 17:36:17
107410,Arma 3,positive,재미없음 하지마 개새끼들아,재미없음 하지마 개새끼 들 아,2021-01-04 18:31:39
107410,Arma 3,positive,고인물들에게 배척당할줄 알았으나 예상외로 고인물들이 더 잘챙겨주면서 화력지원 빵빵해주는 게임,고 인물 들 에게 배척 당할줄 알았으나 예상외 로 고 인물 들 이 더 잘 챙겨주면서 화 력 지원 빵빵 해주는 게임,2021-01-04 18:20:14
107410,Arma 3,positive,개인 행동 절대 금물. 뉴비 배척 주의 요망. 항상 친절 항상 대답.,개인 행동 절대 금물 . 뉴비 배척 주의 요망 . 항상 친절 항상 대답 .,2021-01-04 15:13:23
107410,Arma 3,positive,할만함,할만 함,2021-01-02 00:28:22
107410,Arma 3,positive,예아,예아,2021-01-01 06:16:07
107410,Arma 3,positive,진입장벽이 높지만 재미는 있습니다.,진입 장벽 이 높지만 재미 는 있습니다 .,2020-12-31 21:41:33
107410,Arma 3,positive,"[2020년 마무리 평가 에디션 - ARMA3] 1. 게임종류 군사 밀리터리 시뮬레이션 샌드박스 게임 RTS 류의 3D판 스타크래프트 마린 1인칭 + 마인크래프트 기능 추가됨 감이 잘 안온다면 유튜브 '우왁굳의게임방송' 채널의 아르마3 컨텐츠 시청 2. 난이도 주로 멀티플레이 위주, 다양한 군사용어로 진입 장벽이 높음 3. 운영스타일 공식서버O 개인운영 사설서버O (주로 사설서버 이용) 한국은 Co-operation 스타일인 '작전서버'가 주를 이룸. 공개서버와 클랜의 비공개서버로 나뉜다. 공개서버 - 룰 존재. 미필(미성","[ 2020년 마무리 평가 에디 션 - ARMA 3 ] 1 . 게임 종류 군사 밀리터리 시뮬레이션 샌드박스 게임 RTS 류 의 3 D 판 스타크래프트 마린 1 인칭 + 마인크래프트 기능 추가 됨 감 이 잘 안 온다면 유튜브 ' 우 왁 굳의 게임 방송 ' 채널 의 아르마 3 컨텐츠 시청 2 . 난이도 주로 멀티플레이 위주 , 다양한 군사 용어 로 진입 장벽 이 높음 3 . 운영 스타일 공식 서버 O 개인 운영 사설서버 O ( 주로 사설서버 이용 ) 한국 은 Co - operation 스타일 인 ' 작전 서버 ' 가 주 를 이룸 . 공개 서버 와 클랜 의 비공개 서버 로 나뉜다 . 공개 서버 - 룰 존재 . 미필 ( 미성",2020-12-31 19:17:26
107410,Arma 3,positive,이 게임을 구매하기전 자신에게 넌 이게임이 필요하니? 라고 되물어보시길 바랍니다.,이 게임 을 구매 하기전 자신 에게 넌 이 게임 이 필요하니 ? 라고 되 물어보시길 바랍니다 .,2020-12-29 22:36:39
107410,Arma 3,positive,너무 현실적함,너무 현실 적함,2020-12-29 18:55:49
