app_id,app_name,sentiment,review_original,review_tokenized,timestamp
583950,Artifact,negative,내 돈 물어내 밸브 꺣썏끿들아,내 돈 물어내 밸브 꺣썏끿들 아,2020-12-19 10:34:47
583950,Artifact,negative,개 병신겡미,개 병신 겡미,2020-12-05 15:52:15
583950,Artifact,negative,씨발,씨발,2020-10-05 11:48:50
583950,Artifact,negative,"내 돈 돌려줘 나는 밸브 게임을 좋아한다. 팀2포가 스팀 입문작이고, 남들이 망타2라고 욕하는 도2타를 플레이하기도 했다. 하프라이프 시리즈는 많이 플레이해보지 못했지만, 포탈 시리즈는 플레이해봤다. 나는 카드 게임을 좋아한다. 오프라인 TCG(MTG, 유희왕, 라이브 온, 뱅가드 등)와, 온라인 CCG(하스스톤, 듀얼리스트, 룬테라 등) 모두 재미있게 플레이했다. 찐따들만 모인 겜덕 중에서도 찐따 취급받는 카드게임을 재밌게 하는 ㄹㅇ 찐따새끼인 것이다. 근데 찐따새끼도 거르는 씨1발 이 좆같은 카드게임은 대체 뭐 하는 게임인","내 돈 돌려줘 나 는 밸브 게임 을 좋아한다 . 팀 2 포 가 스팀 입문 작 이고 , 남 들 이 망타 2 라고 욕 하는 도 2 타 를 플레이 하기도 했다 . 하프라이프 시리즈 는 많이 플레이 해보지 못 했지만 , 포탈 시리즈 는 플레이 해봤다 . 나 는 카드 게임 을 좋아한다 . 오프라인 TCG ( MTG , 유희왕 , 라이브 온 , 뱅 가드 등 ) 와 , 온라인 CCG ( 하스스톤 , 듀얼 리스트 , 룬테 라 등 ) 모두 재미있게 플레이 했다 . 찐 따 들만 모인 겜덕 중 에서도 찐 따 취급 받는 카드게임 을 재밌게 하는 ㄹㅇ 찐 따 새끼 인 것 이다 . 근데 찐 따 새끼 도 거르 는 씨 1 발 이 좆 같은 카드게임 은 대체 뭐 하는 게임 인",2020-07-05 09:15:35
583950,Artifact,negative,"베타 참가 메일이 왔길래 게임이 얼마나 변했는지 알고 싶어서 베타 버전을 잠깐 플레이해봤다. 딱 세 판 해보고 게임을 삭제했다. 예전부터 비평받던 고질적인 시스템 문제는 무엇 하나 수정되지 않았다. 애초에, 플레이어가 유닛을 원하는 대로 배치/이용할 수 없는 TCG 게임에 밝은 미래 따위 있을 수가 없다.","베타 참가 메일 이 왔길래 게임 이 얼마나 변했는지 알 고 싶어서 베타 버전 을 잠깐 플레이 해봤다 . 딱 세 판 해보고 게임 을 삭제 했다 . 예전 부터 비평 받던 고질 적 인 시스템 문제 는 무엇 하나 수정 되지 않았다 . 애초 에 , 플레이어 가 유닛 을 원하는 대로 배치 / 이용 할 수 없는 TCG 게임 에 밝은 미래 따위 있을 수가 없다 .",2020-06-01 17:31:19
583950,Artifact,negative,도끼전사 카드 나왔을때 손절했어야 했는데...,도끼 전사 카드 나왔을 때 손절 했어야 했는데 ...,2020-03-12 23:32:01
583950,Artifact,negative,액스뽑아 팔았으면 갓겜 아니면 똥겜,액스뽑 아 팔았으면 갓 겜 아니면 똥겜,2020-03-10 23:41:15
583950,Artifact,negative,스팀 게임중에 유일하게 결제가 아까웠던 게임.,스팀 게임 중 에 유일하게 결제 가 아까웠던 게임 .,2020-03-08 21:58:19
583950,Artifact,negative,쓰레기갬,쓰레기 갬,2020-01-23 23:55:09
583950,Artifact,negative,왜 10만원 질렀을까..,왜 10만원 질렀을까 ..,2019-12-27 22:40:26
583950,Artifact,negative,븅신겜이 낳은 개븅신겜,븅신겜 이 낳은 개븅신 겜,2019-12-02 13:22:00
583950,Artifact,negative,개씹쓰레기 게임,개 씹 쓰레기 게임,2019-12-01 18:52:39
583950,Artifact,negative,rip,rip,2019-12-01 02:50:48
583950,Artifact,negative,잘 망했다,잘 망했다,2019-11-30 00:11:46
583950,Artifact,negative,구매한 사람들을 호구로 만드는 기적의 게임,구매 한 사람 들 을 호구 로 만드는 기적 의 게임,2019-11-29 22:37:05
583950,Artifact,negative,"2019/11/27 여타 카드게임들과 차별점을 두기 위해 최선을 다했지만, 플레이어가 원하는 바를 정확히 알지 못한 녀석. 사실 이 게임으로 정말 밸브에 크게 실망하였습니다. 나는 적어도 팀포2 수준의 관리는 해줄 것이라 생각했어, 밸브는 그러지 못했고. 지금으로서는 궨트의 홈커밍급 리워크가 필요해보인다. 궨트와의 차이점? 궨트는 리워크 전에도 확고한 지지 유저가 있었던 반면, 아티팩트는 모든 유저를 잃어버렸지. 만약 밸브가 자랑스럽게 아티팩트 리워크를 내놓는다면, 한 번 믿어보겠다. 그전까지는 아티팩트는 실망덩어리다.","2019/11 / 27 여타 카드게임 들 과 차별 점 을 두기 위해 최선 을 다 했지만 , 플레이어 가 원하는 바를 정확히 알 지 못 한 녀석 . 사실 이 게임 으로 정말 밸브 에 크게 실망하였습니다 . 나 는 적어도 팀포 2 수준 의 관리 는 해줄 것 이라 생각 했어 , 밸브 는 그러지 못 했고 . 지금 으로서는 궨트 의 홈 커밍 급 리워 크가 필요 해보인다 . 궨트 와의 차이점 ? 궨트 는 리워 크 전 에도 확고한 지지 유저 가 있었던 반면 , 아티 팩트 는 모든 유저 를 잃어버렸지 . 만약 밸브 가 자랑 스럽게 아티 팩트 리워 크를 내놓는다면 , 한 번 믿어 보겠다 . 그 전 까지는 아티 팩트 는 실망 덩어리 다 .",2019-11-27 04:12:54
583950,Artifact,negative,"최악의 쓰레기 게임. 하프2 나올때부터 스팀 가입되어있어서 15년 가까이 스팀을 쓰고 있지만, 역대 최악의 먹튀 거품 쓰레기 게임. 오랜만에 패치나 업데이트라도 되어 있나 해서 왔더니 오픈그대로네. ㅋㅋㅋ 와 진짜 니들이 인간이냐. 워3때 부터 도타1 한거 거지같은 개발자 놈들한테 적선한다고 생각하고 버릴란다.","최악 의 쓰레기 게임 . 하프 2 나올 때 부터 스팀 가입 되어있어서 15년 가까이 스팀 을 쓰고 있지만 , 역대 최악 의 먹튀 거품 쓰레기 게임 . 오랜 만 에 패치 나 업데이트 라도 되어 있나 해서 왔더니 오픈 그대로 네 . ㅋㅋㅋ 와 진짜 니 들 이 인간 이냐 . 워 3 때 부터 도타 1 한 거 거지같은 개발자 놈 들 한테 적선 한다고 생각 하고 버릴란다 .",2019-11-24 11:16:08
583950,Artifact,negative,그냥 전원 환불 해주자 제발 돈이 너무 아까워,그냥 전원 환불 해주자 제발 돈 이 너무 아까워,2019-11-15 19:12:50
583950,Artifact,negative,넘 어렵다 ㅜㅜ,넘 어렵다 ㅜㅜ,2019-10-20 05:19:42
583950,Artifact,negative,트위치 시청자 0명 벨브가 버린 쓰레기게임,트위치 시청자 0 명 벨브 가 버린 쓰레기 게임,2019-10-12 16:17:34
583950,Artifact,negative,아니요,아니요,2019-09-03 18:48:30
583950,Artifact,negative,[b] No update [/b] [b] No player [/b] [b] No hope [/b] [b] No fun [/b] This game is dead 此游戏已死 이 게임은 이미 죽었습니다 このゲームは終了しました Se acabó el juego Ce jeu est mort Dieses Spiel ist vorbei Игра окончена Este jogo está morto Questo gioco è finito Trò chơi này kết thúc rồi เกมนี้จบแล้ว Permainan ini sud,[ b ] No update [/ b ] [ b ] No player [/ b ] [ b ] No hope [/ b ] [ b ] No fun [/ b ] This game is dead 此游戏已死 이 게임 은 이미 죽었습니다 このゲームは終了しました Se acab ó el juego Ce jeu est mort Dieses Spiel ist vorbei Игра окончена Este jogo est á morto Questo gioco è finito Tr ò ch ơ i n à y k ế t th ú c r ồ i เกมนี้จบแล้ว Permainan ini sud,2019-08-30 21:15:08
583950,Artifact,negative,야이씨,야 이씨,2019-08-17 03:56:17
583950,Artifact,negative,씨발,씨발,2019-08-14 16:44:40
583950,Artifact,negative,아직도 아티팩트 잡고 있는 흑우없제?,아직도 아티 팩트 잡고 있는 흑우 없 제 ?,2019-07-20 06:08:11
583950,Artifact,negative,어렵다 진입장벽이 높다 재미붙이려면 오래걸릴것 같다,어렵다 진입 장벽 이 높다 재미 붙이려면 오래 걸릴것 같다,2019-06-30 14:16:40
583950,Artifact,negative,개같은 벨브 새1끼들 먹튀겜 노밸패 노패치 노희망 가필드 개1새1끼 효수해야된다,개 같은 벨브 새 1 끼들 먹튀 겜 노밸패 노 패치 노 희망 가필드 개 1 새 1 끼 효수 해야 된다,2019-06-29 20:12:15
583950,Artifact,negative,어드벤쳐타임 카드워즈 도타 에디션,어드벤쳐타임 카드 워 즈 도타 에디 션,2019-06-29 13:44:41
583950,Artifact,negative,여기에 쓸 2만 2천 5백원으로 히오스에 시공석을 샀으면 더욱 만족스러웠을 것.,여기 에 쓸 2만 2천 5 백원 으로 히오스 에 시 공석 을 샀으면 더욱 만족스러웠을 것 .,2019-06-02 15:58:40
583950,Artifact,negative,비융신겜,비융 신 겜,2019-05-27 13:33:06
583950,Artifact,negative,게임시간과 카드의 조합 그리고 화려한 이펙트 등 아직 많이 부족해 보입니다.,게임 시간 과 카드 의 조합 그리고 화려한 이펙트 등 아직 많이 부족해 보입니다 .,2019-05-18 10:58:45
583950,Artifact,negative,제대로 해보지도 못하고 겜이 망했다.,제대로 해보지도 못 하고 겜 이 망했다 .,2019-05-17 06:47:14
583950,Artifact,negative,씨발 좆망겜 하지마 씨발 무슨 처음에 키자마자 매칭이 씨발 왜 91렙하고 매칭되냐 씨발,씨발 좆망 겜 하지마 씨발 무슨 처음 에 키 자마자 매칭 이 씨발 왜 91 렙 하고 매칭 되냐 씨발,2019-05-06 00:37:46
583950,Artifact,negative,걍 병신,걍 병신,2019-04-28 22:39:34
583950,Artifact,negative,f***ing bullsh*t,f *** ing bullsh * t,2019-04-10 20:46:38
583950,Artifact,negative,적당히 재미없어라,적당히 재미없어라,2019-04-07 15:41:38
583950,Artifact,negative,내 인생을 바꿔줄 게임이라고 생각했건만,내 인생 을 바꿔줄 게임 이라고 생각 했건만,2019-03-30 16:41:05
583950,Artifact,negative,11시간 어케했노 시발ㄴ년아,11시간 어케했노 시발 ㄴ 년 아,2019-03-25 19:17:51
