app_id,app_name,sentiment,review_original,review_tokenized,timestamp
637090,BATTLETECH,negative,"간단히 적겠습니다 1.멕워리어4까지, 멕커맨더 2까지 안해봤으면 사지 마세요 2.고사양 컴이 아니시면 구매 심각히 재고하시기 바랍니다 1660에 램만32기가인데 로딩속도 실화냐 3.다이렉트 게임즈에서 구매하세요 한패는 없지만 머시너리 컬렉션을 다이렉트에서 사면 스팀보다 9000원 정도 이득봅니다","간단히 적겠습니다 1 . 멕 워리어 4 까지 , 멕커맨더 2 까지 안 해봤으면 사지 마세요 2 . 고 사양 컴 이 아니시면 구매 심각히 재고 하시기 바랍니다 1660 에 램 만 32 기가인데 로딩 속도 실화 냐 3 . 다이렉트 게임 즈 에서 구매 하세요 한 패 는 없지만 머시 너리 컬렉션 을 다이렉트 에서 사면 스팀 보다 9000원 정도 이득 봅니다",2021-01-01 05:22:32
637090,BATTLETECH,negative,"로딩하고 겜 버버벅 거리면서 진행되는거 보면 답답해서 뒤지고, 한글화는 물건너 가고, 빌드를 어떻게 구성해야 하는지 땅에 쳐박고 구성하는 느낌이고, XCOM은 천사다 천사 XCOM이 10점이면 이건 2점 수준. 이 게임을 할려면 딱 이 조건들이면됨. 1. 세일 90프로 때릴때, 2. 배틀테크 세계관 매니아 3. 시간넘쳐나서 버버벅거리던말던 버티고 겜할 수 있는 사람. 재밋다는데 현혹되지 말것. 오직 매니아만이 좋아할만한 게임","로딩 하고 겜 버버벅 거리 면서 진행 되는거 보면 답답해서 뒤지고 , 한글화 는 물건 너 가고 , 빌드 를 어떻게 구성 해야 하는지 땅 에 쳐 박고 구성 하는 느낌 이고 , XCOM 은 천사 다 천사 XCOM 이 10 점 이 면 이건 2 점 수준 . 이 게임 을 할려면 딱 이 조건 들 이면 됨 . 1 . 세 일 90 프로 때릴 때 , 2 . 배틀테크 세계관 매니아 3 . 시간 넘쳐나서 버버 벅 거리 던말던 버티고 겜 할 수 있는 사람 . 재밋 다는데 현혹 되지 말것 . 오직 매니아 만이 좋아할만 한 게임",2020-09-05 19:24:21
637090,BATTLETECH,negative,"너무나도 재밌게 플레이했고 모드포함하면 해당장르 갓겜이라고 해도 이상할거없다. 그럼에도 비추리뷰를 하는 이유는, 이 모든 것을 씹어먹는 최적화때문이다. 개선될 여지도 없으니, 구매를 고려하는 그대 가볍게 넘어가면 좋을 것이다.","너무나도 재밌게 플레이 했고 모드 포함 하 면 해당 장르 갓 겜 이라고 해도 이상할거 없다 . 그럼에도 비추 리뷰 를 하는 이유 는 , 이 모든 것 을 씹어 먹는 최적화 때문 이다 . 개선 될 여지 도 없으니 , 구매 를 고려 하는 그대 가볍게 넘어가면 좋을 것 이다 .",2020-08-30 15:46:45
637090,BATTLETECH,negative,튜토리얼에서 똥내 너무 짙어서 바로 환불해버림,튜토리얼 에서 똥내 너무 짙어서 바로 환불 해 버림,2020-07-25 17:01:23
637090,BATTLETECH,negative,"게임은 재밌습니다. 하지만 난이도를 제대로 실패한 게임입니다. 미션 난이도 표시를 해골로 하는데 각 해골 수만큼 나오는 적 톤수가 계산됩니다. 예를 들어 해골이 하나면 최대 100톤, 1.5개면 125톤 이렇게 말이죠. 문제는 저건 어디까지나 기본 적들의 규모만 계산할 뿐 미션 중간에 나오는 추가병력은 계산이 안 된 수치입니다. 그러니 해골 1.5개 미션에 적은 400톤이 나올 수 있다는 소리입니다. 미친거 아닙니까? 게임 시작 후 두번째 미션을 해골 1.5개로 정해서 갔는데, 적은 캐터펄트 + 헌치백이 기본이고, 2대의","게임 은 재밌습니다 . 하지만 난이도 를 제대로 실패한 게임 입니다 . 미션 난이도 표시 를 해골 로 하는데 각 해골 수 만큼 나오는 적 톤수 가 계산 됩니다 . 예 를 들어 해골 이 하나 면 최대 100 톤 , 1.5 개면 125 톤 이렇게 말 이 죠 . 문제 는 저건 어디 까지나 기본 적 들 의 규모 만 계산 할 뿐 미션 중간 에 나오는 추가 병력 은 계산 이 안 된 수치 입니다 . 그러니 해골 1.5 개 미션 에 적은 400 톤 이 나올 수 있다는 소리 입니다 . 미친거 아닙니까 ? 게임 시작 후 두번째 미션 을 해골 1.5 개 로 정해 서 갔는데 , 적은 캐터펄트 + 헌 치 백 이 기본 이고 , 2 대의",2020-04-30 12:57:32
637090,BATTLETECH,negative,X,X,2020-04-21 15:45:00
637090,BATTLETECH,negative,최적화는 몇달 몇년이 지나도 그대로고 도대체 이 게임이 dlc 뽑아내며 아직도 판매하는지 잘 모르겠음 컨텐츠도 머 없고 4대로 시작해서 4대로 끝나는 노잼 전략이라곤 하나도 없고 한국이였으면 당장 망했을 게임,최적화 는 몇 달 몇 년 이 지나도 그대 로고 도대체 이 게임 이 dlc 뽑아내며 아직도 판매 하는지 잘 모르겠음 컨텐츠 도 머 없고 4 대로 시작 해서 4 대로 끝나는 노잼 전략 이라곤 하나 도 없고 한국 이 였으면 당장 망했을 게임,2020-03-08 21:59:27
637090,BATTLETECH,negative,험블먼슬리로 뜬김에 XCOM류 게임이라고 해서 샀더니 속았음. 세상에 이렇게 지루하고 버그투성이에 데미지는 눈꼽만큼씩 빠져서 수면유도하는 게임도 있었네. 억지로 참고 17시간이나 했는데 이제 한계다 삭제,험블먼슬리 로 뜬 김 에 XCOM 류 게임 이라고 해서 샀더니 속 았음 . 세상 에 이렇게 지루하고 버그 투성이 에 데미 지는 눈꼽 만큼씩 빠져서 수면 유도 하 는 게임 도 있었네 . 억지로 참고 17시간 이나 했는데 이제 한계 다 삭제,2020-03-03 00:15:42
637090,BATTLETECH,negative,korean translation update please.,korean translation update please .,2020-02-22 21:49:28
637090,BATTLETECH,negative,영어압박이 매우매우 심함,영어 압박 이 매우 매우 심함,2020-02-22 19:02:16
637090,BATTLETECH,negative,하지마세요 창고에 900만원 넘는 메크 스크랩이 있었는데 9천원이 오바됐다고 갑자기 게임이 터졌어요 근데 철인모드라서 어쩔수 없이 게임이 끝났네요? 세이브가 하나밖에 없다고 게임이 터졌어요 내잘못이네요? ㅈㅅ...ㅎㅎ... 꿀잼겜... ㅎㅎ...,하지 마세요 창고 에 900만원 넘는 메 크 스크랩 이 있었는데 9천원 이 오 바 됐다고 갑자기 게임 이 터졌어요 근데 철인 모드 라서 어쩔 수 없이 게임 이 끝났네요 ? 세이브 가 하나 밖에 없다고 게임 이 터졌어요 내 잘못 이네 요 ? ㅈㅅ ... ㅎㅎ ... 꿀잼겜 ... ㅎㅎ ...,2020-01-14 12:39:24
637090,BATTLETECH,negative,메카닉 하나하나 커스터마이징 가능하다는 점 하나가 두드러지는 장점. 일부로 버리는 유닛 몸통에 온갖 화약 장비 쟁여두고 터뜨려도봄. 디테일에는 꽤나 신경쓴게 보임. 그 외에는 대부분 수긍하지 못할만한 단점이 너무 많음. 게임 한창 텐션 받았을 때 턴 종료 누르면 더 진행 안되는 버그를 몇번씩이나 겪음. 그리고 게임 로딩이 상당히 느림. 위에 언급한 버그 때문에 몇번씩 재진행을 해야 했는데 게임을 아예 종료시키고 다시 켜야 제대로 진행이 됨. 이걸 다시 게임 실행 시키고 로딩 화면을 지나서 전투 장면까지 갈라면... 정말 환장할,메카 닉 하나 하나 커스터 마이 징 가능하다는 점 하나 가 두드러지는 장점 . 일부 로 버리는 유닛 몸통 에 온갖 화약 장비 쟁여두 고 터뜨려도 봄 . 디테일 에는 꽤 나 신경 쓴게 보임 . 그 외 에는 대부분 수긍 하지 못 할만 한 단점 이 너무 많음 . 게임 한창 텐션 받았을 때 턴 종료 누르면 더 진행 안되는 버그 를 몇번 씩 이나 겪음 . 그리고 게임 로딩 이 상당히 느림 . 위 에 언급 한 버그 때문 에 몇번 씩 재 진행 을 해야 했는데 게임 을 아예 종료 시키고 다시 켜야 제대로 진행 이 됨 . 이 걸 다시 게임 실행 시키고 로딩 화면 을 지나서 전투 장면 까지 갈라 면 ... 정말 환장할,2019-10-21 11:14:01
