app_id,app_name,sentiment,review_original,review_tokenized,timestamp
960090,Bloons TD 6,negative,수명이 짧은겜,수명 이 짧은 겜,2020-12-27 19:48:41
960090,Bloons TD 6,negative,원숭이가 귀엽고 게임이 재미는 있으나 서버랑 최적화가 개구데기 3700X rtx2060s로도 렉걸리는 갓겜 그래픽 설정 불가능 창모드 어림도없지ㅋㅋ 게임 중반부터는 마우스 커서 찾기게임됨 딱히 리뷰 남길 생각없었는데 친구들이랑 협동으로 무한모드하다가 컴터 멈춰서 남김,원숭이 가 귀엽고 게임 이 재미 는 있으나 서버 랑 최적화 가 개구데기 3700 X rtx 2060 s 로 도 렉 걸리는 갓 겜 그래픽 설정 불가능 창 모드 어림 도 없지 ㅋㅋ 게임 중반 부터는 마우스 커서 찾기 게임 됨 딱히 리뷰 남길 생각 없었는데 친구 들 이랑 협동 으로 무한 모드 하 다가 컴터 멈춰서 남김,2020-09-06 09:47:37
960090,Bloons TD 6,negative,도와주실수 있나요? 컴퓨터 바꿧는데 까니까 초기화가 되어있네요..,도와주실수 있나요 ? 컴퓨터 바꿧는데 까니까 초기 화가 되어있네요 ..,2020-08-31 11:43:55
960090,Bloons TD 6,negative,돈주고샀는데 현질유도하는게임,돈 주고 샀는데 현질 유도 하 는 게임,2020-07-04 12:13:42
960090,Bloons TD 6,negative,겜 클리어했는데 메달이 안따짐 ㅅㅂ,겜 클리어 했는데 메달 이 안 따짐 ㅅㅂ,2020-06-15 21:47:31
960090,Bloons TD 6,negative,요즘 일일 미션들 보면 선을 넘는것들만 나오는군요.. 전에는 그래도 초보자라도 깰수 있는걸 줬는데 요즘은 쉬움인데도 선을 넘는 난이도를 가지고와서 깰수 없게 만드네요,요즘 일일 미션 들 보면 선 을 넘는것 들만 나오는군요 .. 전 에는 그래도 초보자 라도 깰수 있는걸 줬는데 요즘 은 쉬움 인데 도 선 을 넘는 난이도 를 가지 고 와서 깰수 없게 만 드 네 요,2020-05-23 17:01:55
960090,Bloons TD 6,negative,"I like this game. But I can't play this game. The game is not loading..... I dont know the reason but on BT6 on mobile, it needs an update. I already update this game, but mobile needs an update.... Two reasons are different but I can'r play this game. Can you fix the bug? D:","I like this game . But I can ' t play this game . The game is not loading ..... I dont know the reason but on BT 6 on mobile , it needs an update . I already update this game , but mobile needs an update .... Two reasons are different but I can ' r play this game . Can you fix the bug ? D :",2020-05-08 11:12:54
960090,Bloons TD 6,negative,게임에 나오는 원숭이가 너무 못생겨서 마음에 안들어요,게임 에 나오는 원숭이 가 너무 못 생겨서 마음 에 안 들어요,2020-04-07 10:48:43
960090,Bloons TD 6,negative,"패키지게임이랍시고 팔아놓고서는 돈에 미친 원숭이놈들. 패치되면 될수록 돈욕심이 한계를 넘어 폭주해버림. 이제는 특성찍는데도 돈을 내야함. 스테이지 클리어시 보상으로 주던 돈이 거진 10/1로 줄어버림. 재정신으로 할짓이 아님. 양아치 놈들 내가 구매한 게임중에 불법다운 버젼으로 하는걸 추천하는 유일한 게임. 서버 관리는 아예 안하는 게임이며 매번 버,,버,,벅이는 게임을 하게됨. 이건 예외없이 모든 멀티게임이 버벅임는 상태. 심할때는 강제로 진행중 튕기거나 내 타워의 통제권을 다른 유저에게 빼앗기는 황당한 경우도 자주나옴. 몇몇","패키지 게임 이 랍시고 팔아놓고서는 돈 에 미친 원숭이 놈 들 . 패치 되면 될수록 돈 욕심 이 한계 를 넘어 폭주 해 버림 . 이제 는 특성 찍는데도 돈 을 내야 함 . 스테이지 클리어 시 보상 으로 주던 돈 이 거진 10/1 로 줄어 버림 . 재 정신 으로 할 짓 이 아님 . 양 아치 놈 들 내 가 구매 한 게임 중 에 불법 다운 버젼 으로 하 는걸 추천 하는 유일한 게임 . 서버 관리 는 아예 안 하는 게임 이며 매번 버 ,, 버 ,, 벅 이 는 게임 을 하게 됨 . 이건 예외 없이 모든 멀티 게임 이 버벅임는 상태 . 심할 때 는 강제 로 진행중 튕기거 나 내 타워 의 통제 권 을 다른 유저 에게 빼앗기는 황당한 경우 도 자주 나옴 . 몇몇",2020-03-15 14:30:21
960090,Bloons TD 6,negative,제발 서버 관리 좀 해라 감자 보다 심하면 어카니... I'm Suffering From Server Problems Every Time Plz Use A Better Server.. :(,제발 서버 관리 좀 해 라 감자 보다 심하면 어카 니 ... I ' m Suffering From Server Problems Every Time Plz Use A Better Server .. :(,2020-03-13 04:56:47
960090,Bloons TD 6,negative,온라인게임이고 인앱결제가 있다.,온라인게임 이고 인앱 결제 가 있다 .,2020-03-05 17:29:21
960090,Bloons TD 6,negative,"세이브파일 클라우드 미지원입니다. 다날아갔네... 페이스북 계정이랑 닌자키위에 이메일도 다 연동해두었는데, 게임 재설치하고나서 계정연결 하려고 하니까, 그 계정은 이미 사용중인 계정이라면서 기존계정과 연동을 해주지 않음","세이브 파일 클라우드 미지 원 입니다 . 다 날아갔네 ... 페이스북 계정 이랑 닌자 키위 에 이메일 도 다 연 동해 두었는데 , 게임 재 설치 하고 나서 계정 연결 하려고 하니까 , 그 계정은 이미 사용 중 인 계정 이라 면서 기존 계정 과 연동 을 해주지 않음",2020-02-15 13:09:10
960090,Bloons TD 6,negative,멀티 연결 개선좀해라 ㅅㅂ,멀티 연결 개선 좀해 라 ㅅㅂ,2020-01-15 00:09:31
960090,Bloons TD 6,negative,누가 알았겠냐 추억의 게임이 게임을 사면 안에서 또 결제 하는게 있는 게임으로 변할지 12살꼬맹이때 한 풍타디 가 그립다,누가 알았겠냐 추억 의 게임 이 게임 을 사면 안 에서 또 결제 하는게 있는 게임 으로 변할지 12 살 꼬맹이 때 한 풍 타디 가 그립다,2019-12-27 17:31:52
960090,Bloons TD 6,negative,멀티서버 개편좀 해라 게임 진행을 할수가없다 한스테이지에 10분이 걸린다 퉤,멀티 서버 개편 좀 해 라 게임 진행 을 할수가 없다 한 스테이지 에 10분 이 걸린다 퉤,2019-11-28 21:34:34
960090,Bloons TD 6,negative,Bloons TD 6 친구랑 하실꺼면 비추입니다.... 4명이서 하면 무조건 렉걸립니다 쓰레기 게임 절 때 사 지 마.,Bloons TD 6 친구 랑 하실꺼면 비추 입니다 .... 4 명 이서 하면 무조건 렉 걸립니다 쓰레기 게임 절 때 사 지 마 .,2019-11-28 21:33:34
960090,Bloons TD 6,negative,벌점 5점 줘야 할 꺼 같아서 별점 5점 줍니다. 아니 멀티를 하는데 렉(?)이 너무 마니 걸려요.. 이거 고치지 아느며ㄴ 게임 안 할꺼에요 빨리 고쳐주세요,벌점 5 점 줘야 할 꺼 같아서 별 점 5 점 줍니다 . 아니 멀티 를 하는데 렉 (?) 이 너무 마니 걸려요 .. 이 거 고치 지 아느며 ㄴ 게임 안 할꺼에요 빨리 고쳐주세요,2019-11-28 21:33:04
960090,Bloons TD 6,negative,"아니 어이가없네 아니 하나만되요. 특성찍고 밤에전설,풍선악마 만든다음에 태양신전 범이 안 들어가게 지은다음에 진정한태양신 만들었는데 어둠 진테신 안대는데!!!!!!!!!!!!!!! 심지어 진태 xp모잘라서 힘들게 모아서 열고 고셍을 계고셍으로 만드는데 버그실화야!!!!!!!!!!","아니 어이 가 없네 아니 하나 만 되요 . 특성 찍고 밤 에 전설 , 풍선 악마 만든 다음 에 태양 신전 범 이 안 들어가게 지은 다음 에 진정한 태양신 만들었는데 어둠 진테신 안 대는데 !!!!!!!!!!!!!!! 심지어 진태 xp 모 잘라서 힘들게 모아서 열고 고셍 을 계고셍 으로 만드는데 버그 실화 야 !!!!!!!!!!",2019-02-26 23:39:23
