app_id,app_name,sentiment,review_original,review_tokenized,timestamp
274190,Broforce,positive,그뉵그뉵한 액숀 올스타의 아메리칸-자유 특급배송 일대기.,그뉵그뉵 한 액숀 올스타 의 아메리칸 - 자유 특급 배송 일대기 .,2021-01-08 22:48:51
274190,Broforce,positive,GO GO GO!!!!,GO GO GO !!!!,2021-01-07 23:50:16
274190,Broforce,positive,처음에 플스 판으로 엔딩보고 PC판으로도 엔딩 2회차로 봤는데 또 했음에도 불구하고 타격감이나 효과 등등 장점이 너무 많아서 매력적인 게임임 라이브러리에 박아두면 생각날때마다 하게됨 브로오ㅗㅗ뽀오오ㅗ쓰으으ㅡㅡㅡㅡ!!!!!!!!,처음 에 플스 판 으로 엔딩 보고 PC 판 으로도 엔딩 2회 차로 봤는데 또 했음에도 불구 하고 타 격감 이나 효과 등등 장점 이 너무 많아서 매력 적 인 게임 임 라이브러리 에 박아 두면 생각날 때 마다 하게 됨 브로 오 ㅗㅗ 뽀 오오 ㅗ 쓰으으 ㅡㅡㅡㅡ !!!!!!!!,2021-01-07 23:12:47
274190,Broforce,positive,"America, fuck yeah!","America , fuck yeah !",2021-01-05 16:20:21
274190,Broforce,positive,100명의 위험한 적보다 1명의 멍청한 아군이 위험하다는 말이 있다. 싱글일 때 그 한 명은 나고 멀티일 때도 달라지는 건 없다 그냥 그렇다고...,100 명의 위험한 적 보다 1 명의 멍청한 아군 이 위험하다는 말 이 있다 . 싱글 일 때 그 한 명 은 나고 멀티 일 때 도 달라지는 건 없다 그냥 그렇다고 ...,2020-12-30 04:31:34
274190,Broforce,positive,재미짐,재미 짐,2020-12-29 10:45:23
274190,Broforce,positive,damn good,damn good,2020-12-27 22:13:41
274190,Broforce,positive,great game,great game,2020-12-23 10:04:03
274190,Broforce,positive,이 게임 아주 갓겜입니다! 완전 추천합니다!,이 게임 아주 갓 겜 입니다 ! 완전 추천 합니다 !,2020-12-21 19:19:29
274190,Broforce,positive,점심 나가서 먹을것 같애,점심 나가서 먹을것 같 애,2020-12-12 23:05:45
