app_id,app_name,sentiment,review_original,review_tokenized,timestamp
292730,Call of Duty: Infinite Warfare,negative,"억지로 끼워 맞추는 개연성이 부족한 스토리, 로봇 마사지 해주는 듯한 타격감 할인할 때 사서 스토리만 한번 깨보고 콜오브듀티의 첫 미래전이라는 아이덴티티만 확인하는게 나음","억지로 끼워 맞추는 개연 성 이 부족한 스토리 , 로봇 마사지 해주는 듯 한 타 격감 할인 할 때 사서 스토리 만 한번 깨 보고 콜오브듀티 의 첫 미래 전이 라는 아이덴티티 만 확인 하는게 나음",2020-12-30 17:13:29
292730,Call of Duty: Infinite Warfare,negative,시발,시발,2020-12-23 14:08:07
292730,Call of Duty: Infinite Warfare,negative,캠페인 시작 직후 로딩에서 찔끔 남기고 완료가 안되더니 2분쯤 멈춰 있다가 꺼졌다. 그래픽카드가 최신은 아니지만 나름 햄탈워나 위쳐3 등등 고사양 겜 돌아가긴 잘 돌아가는 컴인데... 아예 플레이가 불가능하다.,캠페인 시작 직후 로딩 에서 찔끔 남기고 완료 가 안되더니 2분 쯤 멈춰 있다가 꺼졌다 . 그래픽카드 가 최신 은 아니지만 나름 햄탈워 나 위 쳐 3 등등 고 사양 겜 돌아가긴 잘 돌아가는 컴 인데 ... 아예 플레이 가 불가능하다 .,2020-12-16 20:59:49
292730,Call of Duty: Infinite Warfare,negative,자꾸 꺼짐,자꾸 꺼짐,2020-12-05 01:01:38
292730,Call of Duty: Infinite Warfare,negative,"싱글 - 괜찮긴 한데, 적군 진영인 화성이 너무 뻔하다. 화성인들은 아무 이유도 없이 지구인들을 싫어하며 로딩 설명에선 화성은 모든 시민들이 군대이며 무조건 불복종하면 죽는다는 전형적인 공산주의식 마인드를 가지고 있다. 화성이 공격하는 이유도 없고 갑자기 연락이 끊기더니 갑자기 지구를 공격한다. 게다가 지구에 비해 엄청난 후진국이라면서 [spoiler]엄청나게 많은 지구인 부대 중 1명 빼고 전부[/spoiler] 전멸시켜버렸다는 어이없는 엔딩까지. 게다가 게임 내에서 ""왜 지구를 공격하지?"" 라고 물으면 그냥 ""화성이여... 영원","싱글 - 괜찮긴 한데 , 적군 진영 인 화성 이 너무 뻔하다 . 화성인 들 은 아무 이유 도 없이 지구인 들 을 싫어하며 로딩 설명 에선 화성 은 모든 시민 들 이 군대 이며 무조건 불복종 하면 죽는다는 전형 적 인 공산주의 식 마인드 를 가지 고 있다 . 화성 이 공격 하는 이유 도 없고 갑자기 연락 이 끊기더니 갑자기 지구 를 공격 한다 . 게다가 지구 에 비해 엄청난 후진국 이라 면서 [ spoiler ] 엄청나게 많은 지구인 부대 중 1 명 빼고 전부 [/ spoiler ] 전멸 시켜 버렸다는 어이없는 엔딩 까지 . 게다가 게임 내 에서 "" 왜 지구 를 공격 하지 ?"" 라고 물으면 그냥 "" 화성 이여 ... 영원",2020-10-28 12:52:41
292730,Call of Duty: Infinite Warfare,negative,스토리때문에 차마 추천을 못하겠음 싱글플레이 자체는 재밌는데 그놈의 스토리가... 하...,스토리 때문 에 차마 추천 을 못 하겠음 싱글플레이 자체 는 재밌는데 그 놈 의 스토리 가 ... 하 ...,2020-10-16 19:57:54
292730,Call of Duty: Infinite Warfare,negative,투쟁 혹은 도주인가? 그 미션 하다가 앞에 보이는 함선만 쳐 따라가다가 10분동안 멍떄렸는데 이상해서 기수 돌리니 바로죽음 뭔가 이상해서 다른사람 블로그 보니 금방 미션 끝남 이거 왜그러지 ㅋㅋㅋㅋㅋㅋㅋ 똥망겜 수준;,투쟁 혹은 도주 인가 ? 그 미션 하다가 앞 에 보이는 함선 만 쳐 따라가다가 10분 동안 멍 떄렸는데 이상해서 기수 돌리니 바로 죽음 뭔가 이상해서 다른사람 블로그 보니 금방 미션 끝남 이 거 왜그러지 ㅋㅋㅋㅋㅋㅋㅋ 똥망겜 수준 ;,2020-09-21 00:46:48
292730,Call of Duty: Infinite Warfare,negative,무한로딩 해결 안하나? 개빡친다 진짜 잘 되다가 오랫만에 재설치하니까 안됨ㅜㅜ,무한 로딩 해결 안 하나 ? 개 빡친다 진짜 잘 되다가 오랫 만 에 재 설치 하 니까 안됨 ㅜㅜ,2020-09-15 21:56:43
292730,Call of Duty: Infinite Warfare,negative,미래전 별로,미래 전 별로,2020-09-06 17:18:11
292730,Call of Duty: Infinite Warfare,negative,멀티에 사람이 없어서 매칭이 안잡힘,멀티 에 사람 이 없어서 매칭 이 안 잡힘,2020-09-05 00:07:18
