app_id,app_name,sentiment,review_original,review_tokenized,timestamp
255710,Cities: Skylines,negative,dlc 팔아먹기 엿같네,dlc 팔 아 먹기 엿같 네,2021-01-18 17:15:21
255710,Cities: Skylines,negative,근데 DLC하나도 없으니까 할게 너무 없는데 제가 맞게하고 있는게 맞나요?,근데 DLC 하나 도 없으니까 할게 너무 없는데 제 가 맞게하고 있는게 맞나요 ?,2021-01-16 05:54:29
255710,Cities: Skylines,negative,"게임 자체는 괜찮은데 DLC는 거의 필수임 게임을 완성시켜놓고 팔, 다리 떼서 따로따로 파는 느낌 ""???: 몸통은 줄게 근데 팔을 너네가 돈 주고 사 본편의 반값이면 돼""","게임 자체 는 괜찮은데 DLC 는 거의 필수 임 게임 을 완성 시켜놓고 팔 , 다리 떼서 따로따로 파는 느낌 ""???: 몸통 은 줄 게 근데 팔 을 너 네 가 돈 주고 사 본 편의 반값 이면 돼 """,2021-01-13 01:11:19
255710,Cities: Skylines,negative,whssk shwoa gkwlak Tlqkf rmsid gkwl akffkaus gkwlak,whssk shwoa gkwlak Tlqkf rmsid gkwl akffkaus gkwlak,2021-01-11 22:05:23
255710,Cities: Skylines,negative,수도관 짓다가 혈압 올라서 껐다;,수도관 짓다가 혈압 올라서 껐다 ;,2021-01-11 15:08:15
255710,Cities: Skylines,negative,재밌는데 도로 혼잡도에 현타오면 관두게됨 아마 여러 모드나 에디팅 기능으로 그런 문제점을 해소할 수 있겠지만 음...,재밌는데 도로 혼잡 도 에 현 타오 면 관 두게 됨 아마 여러 모드 나 에디 팅 기능 으로 그런 문제점 을 해소 할 수 있겠지만 음 ...,2021-01-11 10:38:54
255710,Cities: Skylines,negative,아잇,아 잇,2021-01-08 21:45:28
255710,Cities: Skylines,negative,실행도 안되고 환불도 안해줌,실행 도 안되고 환불 도 안 해줌,2021-01-06 07:30:45
255710,Cities: Skylines,negative,어렵다 어려워 시민들은 세금 1퍼만 올려도 발광을 하니 발전이 더딘 기분. 공략을 보던가 해야 좀 편하게 할 것 같다.,어렵다 어려워 시민 들 은 세금 1 퍼 만 올려도 발광 을 하니 발전 이 더딘 기분 . 공략 을 보던가 해야 좀 편하게 할 것 같다 .,2020-12-31 10:50:37
255710,Cities: Skylines,negative,예산 망겜 쉬불,예산 망겜 쉬불,2020-12-29 20:40:09
255710,Cities: Skylines,negative,그냥 업데이트 해줘도될걸 그냥 dlc 로채움,그냥 업데이트 해줘도 될 걸 그냥 dlc 로 채움,2020-12-28 20:39:31
255710,Cities: Skylines,negative,집바로옆이 병원인데 왜아프다고 지랄이야,집 바로 옆 이 병원 인데 왜 아프다고 지랄 이야,2020-12-28 20:07:41
255710,Cities: Skylines,negative,이 새끼들은 겜 기본사양 램 32GB 싱글코어로 겜만들어놓고 DLC는 존나게 팔아대는 양심없는 섀끼들입니다,이 새끼 들 은 겜 기본 사양 램 32 GB 싱글코어 로 겜 만들어놓고 DLC 는 존나 게 팔 아대 는 양심 없는 섀끼 들입니다,2020-12-19 19:33:12
255710,Cities: Skylines,negative,차를 개좆같이 운전하네,차 를 개좆 같이 운전 하네,2020-12-16 16:53:54
255710,Cities: Skylines,negative,there are many achievement bugs,there are many achievement bugs,2020-12-13 20:04:42
255710,Cities: Skylines,negative,nn,nn,2020-12-10 03:00:40
255710,Cities: Skylines,negative,"겜 자체는 ㄹㅇ 개재밌는데 도시 존나 키워놓고 저장하고 끄려고 했더니 겜 크래시나고 현타 씨게 왔다........ 댓글에 있는 오류는 공식적으로 보고된 오류이긴 하나, 그거 안뜨려면 램 낭낭히 준비하면 됨. 다시 켜봐도 여전히 쩌리같은 도시를 보니 가슴이 졸렬해진다.....","겜 자체 는 ㄹㅇ 개 재밌는데 도시 존나 키워놓고 저장 하고 끄려고 했더니 겜 크래 시나 고 현 타 씨 게 왔다 ........ 댓글 에 있는 오류 는 공식 적 으로 보고 된 오류 이긴 하나 , 그거 안 뜨려면 램 낭낭 히 준비 하면 됨 . 다시 켜 봐도 여전히 쩌리 같은 도시 를 보니 가슴 이 졸렬해진다 .....",2020-12-02 06:02:41
255710,Cities: Skylines,negative,엄마 줫 뒤진겜,엄마 줫 뒤진 겜,2020-11-26 22:05:53
255710,Cities: Skylines,negative,애드온 깔수록 게임이 븅신이 되네 ㅆ ㅣ발,애드온 깔수록 게임 이 븅신 이 되네 ㅆ ㅣ 발,2020-11-17 16:40:49
255710,Cities: Skylines,negative,없음,없음,2020-11-11 20:23:55
255710,Cities: Skylines,negative,개 씹 노잼 문명하러감 ㅅㄱ 이거 할 시간에 마인크래프트 하는게 나을듯,개 씹 노잼 문명 하러 감 ㅅㄱ 이 거 할 시간 에 마인크래프트 하는게 나을듯,2020-11-08 13:50:45
255710,Cities: Skylines,negative,여러분 디엘시는 추가 다운로드 가능한 콘텐츠가 아니라 본겜의 일부를 쪼개어 파는거인건 다들 아시죠? 근데 이겜은 개발자가 힘들었는지 개발자가 모드소개를 합니다,여러분 디 엘시 는 추가 다운로드 가능한 콘텐츠 가 아니라 본 겜 의 일부 를 쪼개어 파는거인건 다 들 아시 죠 ? 근데 이 겜 은 개발자 가 힘들었는지 개발자 가 모드 소개 를 합니다,2020-11-03 14:13:47
255710,Cities: Skylines,negative,나사빠진 게임으로 DLC구매를 강요하고 그 DLC마저 나사가 빠져있어 모드를 구독해야 한다.,나사 빠진 게임 으로 DLC 구매 를 강요 하고 그 DLC 마저 나사 가 빠져있어 모드 를 구독 해야 한다 .,2020-10-03 13:13:24
