app_id,app_name,sentiment,review_original,review_tokenized,timestamp
379720,DOOM,negative,개 쓰레기같은 난이도 스트레스 풀려고 겜하다가 스트레스받아 뒤지는 게임,개 쓰레기 같은 난이도 스트레스 풀려고 겜 하다가 스트레스 받아 뒤지는 게임,2021-01-17 12:37:55
379720,DOOM,negative,(난 이게임을 하는데 왜 괴롭지?!),( 난 이 게임 을 하는데 왜 괴롭지 ?!),2021-01-08 22:37:18
379720,DOOM,negative,짜증난다 레이저구간 뭔 설명도 없어서 십분내내 죽기만하고 불친절 대왕이네.. 이터널은 잘만들었더구만 2016은 왜케 짜증나게 만들었냐,짜증난다 레이저 구간 뭔 설명 도 없어서 십분 내내 죽 기만 하고 불친절 대왕 이네 .. 이 터널 은 잘 만들었 더구만 2016 은 왜케 짜증나게 만들었냐,2021-01-07 09:08:28
379720,DOOM,negative,"호불호 확실한편, 나는 재미없음.","호불호 확실 한편 , 나 는 재미없음 .",2021-01-01 21:48:24
379720,DOOM,negative,역사적인 의의가 있는 겜이지만 FPS잖아,역사 적 인 의의 가 있는 겜 이지만 FPS 잖아,2020-12-28 00:13:57
379720,DOOM,negative,"3스테이지정도 남은 것 같은데 그냥 하차, 게임을 잘 만들었으나 너무나 취향이 맞지 않았다 1. 플랫포머 마냥 붕붕 뛰어다니는 주인공 솔직히 전투에서 방방 뛰는건 상관 없는데 맵을 탐색하며 뛰어다니는게 너무나 스트레스였음 아이템 찾으러 여기저기 점프하고 날아다니고 실수하면 낙사,.. 저런 탐색이 좋다고 하는 사람도 있겠지만 나는 NO 2. 수집품 정확히는 수집품이 아니라 파워업이라고 해야겠다, 못 먹으면 그 스테이지를 다시 클리어해야 한다 게다가 진행하다보면 구간이 지나서 도중부터는 못먹게 되는 경우도 있음 못 먹으면 특정 기능","3 스테이지 정도 남은 것 같은데 그냥 하차 , 게임 을 잘 만들었으나 너무나 취향 이 맞지 않았다 1 . 플랫포머 마냥 붕붕 뛰어다니는 주인공 솔직히 전투 에서 방방 뛰는건 상관 없는데 맵 을 탐색 하며 뛰어다니는게 너무나 스트레스 였음 아이템 찾으러 여기저기 점프 하고 날아다니고 실수 하면 낙사 ,.. 저런 탐색 이 좋다고 하는 사람 도 있겠지만 나 는 NO 2 . 수집 품 정확히는 수집 품 이 아니라 파워 업 이라고 해야겠다 , 못 먹으면 그 스테이지 를 다시 클리어 해야 한다 게다가 진행 하다 보면 구간 이 지나서 도중 부터는 못 먹게 되는 경우 도 있음 못 먹으면 특정 기능",2020-12-25 19:09:29
379720,DOOM,negative,멀미 심하고 시원하지도 않음 맵때문에 스트레스 더받음,멀미 심하고 시원하지도 않음 맵 때문 에 스트레스 더 받음,2020-12-25 16:30:01
379720,DOOM,negative,조작감이 영,조 작 감 이 영,2020-12-03 16:43:58
379720,DOOM,negative,한글도 지원 안해주면서 한글 패치하면 게임 설정도 저장이 안되는 게임 거른다 시발,한글 도 지원 안 해주면서 한글 패치 하면 게임 설정 도 저장 이 안되는 게임 거른다 시발,2020-11-28 12:28:20
379720,DOOM,negative,길찾다가 포기했다 ^^ㅣ발 진짜 어디가 길이야,길 찾다가 포기 했다 ^^ ㅣ 발 진짜 어디가 길이 야,2020-11-27 15:28:51
379720,DOOM,negative,이거 할바에 이터널해라,이 거 할 바 에 이 터널 해 라,2020-11-23 02:34:53
379720,DOOM,negative,분명 둠을 좋아하시는 분들이 계실테니 세게 말하지는 않겠지만 둠은 유튜브로 둠 스토리 완전판을 보는 것이 훨씬 더 재밌었다. 밑도 끝도 없이 악마들을 때려잡는 것이 재미로 느껴지지는 않았다.,분명 둠을 좋아하시는 분 들 이 계실테니 세게 말 하 지는 않겠지만 둠은 유튜브 로 둠 스토리 완전 판 을 보는 것 이 훨씬 더 재밌었다 . 밑 도 끝 도 없이 악마 들 을 때려 잡는 것 이 재미 로 느껴지지는 않았다 .,2020-11-16 18:18:25
379720,DOOM,negative,본격 아싸 메이커 게임,본격 아싸 메이커 게임,2020-11-06 10:26:26
379720,DOOM,negative,둠 리부트. 재밌다. 근데 계속해서 즐기기엔 취향이 맞지 않는다..,둠 리부트 . 재밌다 . 근데 계속 해서 즐 기기 엔 취향 이 맞지 않는다 ..,2020-11-05 00:01:39
379720,DOOM,negative,트레일러랑 댓글에 속았다. 전혀 호쾌한 게임이 아니다. 차라리 시리어스 샘을 해라.,트레일러 랑 댓글 에 속 았 다 . 전혀 호쾌 한 게임 이 아니다 . 차라리 시리어스 샘 을 해 라 .,2020-09-29 17:57:55
379720,DOOM,negative,난 액션을 원했지만 미로밖에 없었다,난 액션 을 원했지만 미로 밖에 없었다,2020-09-24 23:40:40
379720,DOOM,negative,"[3/5] 액션 / 슈팅액션이나 타격감 원작을 바탕으로 한 컨샙트나 게임성 자체는 나쁘지않다.둠의 특성상 폭력성이 다분하고 고어한 게임스타일을 유지한다.다만, 유저 친화적이지 못한게임. 이 부분에서 감점을 주고싶다이런 액션/슈팅게임은 2시간이면 게임 평가하기에 충분한 시간이라고 생각한다.무려 이 짧은 시간동안 4가지 이상의 불편한 점을 느꼈다.극도로 피로한 게임이고, 만약 2시간 이내로 이런 느낌을 똑같이 받는다면,FPS의 조상인 둠이나 퀘이크 울펜슈타인 등등의 2D원작과는 별개로명작게임의 반열에는 결코 오르지 못한다.1. 첫번째로","[ 3/5 ] 액션 / 슈팅 액션 이나 타 격감 원작 을 바탕 으로 한 컨샙트 나 게임 성 자체 는 나쁘지 않다 . 둠의 특성 상 폭력 성 이 다분하고 고어 한 게임 스타일 을 유지 한다 . 다만 , 유저 친 화 적 이지 못 한게임 . 이 부분 에서 감점 을 주고싶다 이런 액션 / 슈팅게임 은 2시간 이면 게임 평가 하기에 충분한 시간 이라고 생각 한다 . 무려 이 짧은 시간 동안 4 가지 이상 의 불편한 점 을 느꼈다 . 극도 로 피로한 게임 이고 , 만약 2시간 이내 로 이런 느낌 을 똑같이 받는다면 , FPS 의 조상 인 둠이나 퀘이크 울펜슈타인 등등 의 2 D 원작 과는 별개 로 명작 게임 의 반 열 에는 결코 오르지 못 한다 . 1 . 첫 번째 로",2020-09-17 10:13:06
379720,DOOM,negative,진짜 뭐같은게임 길을 못찾겠다 뭐 이렇게 길을 어렵게 만들어 놓았노 완전 버뮤다 삼각지대 최악의 게임 이다 완전 최악 중에 최악 !!!!,진짜 뭐 같은 게임 길 을 못 찾겠다 뭐 이렇게 길 을 어렵게 만들어 놓았노 완전 버뮤다 삼각지 대 최악 의 게임 이다 완전 최악 중 에 최악 !!!!,2020-08-12 20:00:23
379720,DOOM,negative,진짜 내가 게임하면서 어지럽고 토 나올정도까지 간 게임은 이 둠 뿐이다;; 처음 길찾기가 어려운건 물론이고 공격모션은 그냥 근접에서 붙고 똑같은 머리날리기 ... 특별한거 없고 .. 30분도 못해봤다 ... 어지럽고 토 나오고 길찾기 어려운 역겨운 게임 내 라이브러리에서 평생 썩어라 그냥,진짜 내 가 게임 하면서 어지럽고 토 나올 정도 까지 간 게임 은 이 둠 뿐 이다 ;; 처음 길찾기 가 어려운건 물론 이고 공격 모션 은 그냥 근접 에서 붙고 똑같은 머리 날리기 ... 특별한거 없고 .. 30분 도 못 해봤다 ... 어지럽고 토 나오고 길찾기 어려운 역겨운 게임 내 라이브러리 에서 평생 썩어라 그냥,2020-08-06 21:44:32
379720,DOOM,negative,지루한 추억팔이용 게임,지루한 추억 팔 이용 게임,2020-07-26 22:58:37
379720,DOOM,negative,즐겁게 악마만 죽이고 싶은데 왜 시간 들여서 길찾게 하는거지?,즐겁게 악마 만 죽 이고 싶은데 왜 시간 들여서 길 찾게 하는거지 ?,2020-07-17 10:59:12
379720,DOOM,negative,길 찾다가 빡쳐서 환불받음,길 찾다가 빡쳐서 환불 받음,2020-07-13 21:24:22
379720,DOOM,negative,한글화는 해주고 팔아먹자,한글화 는 해주고 팔 아 먹자,2020-07-13 18:09:46
379720,DOOM,negative,취향 타는 게임 개인적으로 루즈했다.,취향 타는 게임 개인 적 으로 루즈 했다 .,2020-07-10 03:48:57
