app_id,app_name,sentiment,review_original,review_tokenized,timestamp
671510,Desolate,positive,"일단 전체적 감상은 재밌고, 잘 만들었습니다.(겜 캐릭 머머리고정인것만 빼면) 보이스도 좋고 퀘스트도 좋고 스토리도 괜찮은데 퀘스트 난이도가 좀 높아요. 중간에 하다 도저히 퀘스트 위치를 몰라서 못깨고 있는데 아무리 찾아봐도 공략도없고... 다들 초반부에서 그만두더군요? 이게임은 후반갈수록 재밌습니다. 초반에 개새끼들한테 개털리고 뒤지기를 열번넘게 한거같은데 그뒤로 스킬업좀 하고 템파밍좀 되면 스토리보면서 진행하고 찔끔찔끔 깜놀귀짤? 나오는데 그거도 좋고요. 일단 공포겜이니까?ㅎㅎ 확실히 중간보스 잡을때 혼자하면 ㅈㄴ 빡세서 못깨","일단 전체 적 감상 은 재밌고 , 잘 만들었습니다 .( 겜 캐릭 머 머리 고정 인 것 만 빼면 ) 보이스 도 좋고 퀘스트 도 좋고 스토리 도 괜찮은데 퀘스트 난이도 가 좀 높아요 . 중간 에 하다 도저히 퀘스트 위치 를 몰라서 못 깨고 있는데 아무리 찾아봐도 공략 도 없고 ... 다 들 초반 부 에서 그만두더군요 ? 이 게임 은 후반 갈수록 재밌습니다 . 초반 에 개새끼 들 한테 개 털리고 뒤지 기를 열 번 넘게 한 거 같은데 그 뒤 로 스킬 업좀 하고 템 파밍 좀 되면 스토리 보면서 진행 하고 찔끔 찔끔 깜놀 귀 짤 ? 나오는데 그거 도 좋고요 . 일단 공포 겜 이니까 ? ㅎㅎ 확실히 중간 보스 잡 을 때 혼자 하면 ㅈㄴ 빡세 서 못 깨",2020-12-28 13:44:29
671510,Desolate,positive,약간의 호러물이 들어간 생존게임이라고 보시면 될뜻? 하다보면서 갑툭튀 말곤 그렇게 많이는 무섭지 않습니다만... 혼자서 하기엔 조금 어려울수 있으니 한다면 혼자서 말고 친구분들이랑 같이 하시는게 좋을거 같습니다 (꼭 멀티로 하라는 애기는 아닙니다.) 그리고 스토리 진행하다보면 막힐수도 있는데 무조건 힌트를 줍니다 잘 살펴 보십쇼!,약간 의 호러물 이 들어간 생존 게임 이라고 보시 면 될 뜻 ? 하다 보면서 갑툭튀 말곤 그렇게 많이는 무섭지 않습니다만 ... 혼자 서 하기엔 조금 어려울수 있으니 한다면 혼자 서 말고 친구 분들 이랑 같이 하시는게 좋을거 같습니다 ( 꼭 멀티 로 하라 는 애기 는 아닙니다 .) 그리고 스토리 진행 하다 보면 막힐수도 있는데 무조건 힌트 를 줍니다 잘 살펴 보십 쇼 !,2020-11-22 22:05:26
671510,Desolate,positive,지인끼리 하면 공포겜이 아닌 공구리 하는 게임 존나 재밋긴한데 정보가 많이 부족한 게임,지인 끼리 하면 공포 겜 이 아닌 공구리 하는 게임 존나 재밋 긴한데 정보 가 많이 부족한 게임,2020-11-07 13:57:23
671510,Desolate,positive,존나 무서워서 못해먹겠음,존나 무서워서 못 해 먹겠음,2020-10-30 14:04:03
671510,Desolate,positive,친구랑 하면 재밌음. 초반에는 몹들이 무섭지만 어느정도 성장하면 몹을 일방적으로 괴롭히고 다니는 진풍경이 펼쳐짐. 초반에는 음식도 쪼달리지만 조금만 파밍하고 성장하면 요리가 남아돌아서 음식을 버리고 다니게됨.,친구 랑 하면 재밌음 . 초반 에는 몹 들 이 무섭지만 어느 정도 성장하면 몹 을 일방 적 으로 괴롭히고 다니는 진 풍경 이 펼쳐짐 . 초반 에는 음식 도 쪼달리 지만 조금 만 파밍 하고 성장하면 요리 가 남아돌아서 음식 을 버리고 다니게 됨 .,2020-10-28 12:27:08
671510,Desolate,positive,친구 없어서 노잼인거니까 친구 세명 모아서 같이하세용 존잼이에요~,친구 없어서 노잼 인거 니까 친구 세명 모아서 같이 하세용 존잼 이에요 ~,2020-10-27 20:45:17
671510,Desolate,positive,재미는 있는데 시야각이 너무 불편해서 못하겠음,재미 는 있는데 시야 각 이 너무 불편해서 못 하겠음,2020-10-26 00:08:46
671510,Desolate,positive,재밌네~~ 버그가 군데군데 보여 아쉽기는 하지만..,재밌네 ~~ 버그 가 군데군데 보여 아쉽 기는 하지만 ..,2020-10-21 01:00:06
671510,Desolate,positive,"추천할지 말지 이분법에서는 아니오 누르기 좀 그렇지만, 이거 잘 만든 게임이냐고 물어보면 확실하게 아니라고 말할 수 있는 생존게임. 50점은 넘지만 51점주긴 아까운 느낌이다. 흔한 오픈월드 생존 공포 게임. 게임하면서 빡쳤던 요소들이 정말 다 쓰기 힘들정도로 많은데, 쭉 나열해보자면 게임 막바지까지 별 감흥 없는 흔한 흐름이었다가, 막판에 신선할듯 어이없게 마무리되는 스토리. 진짜 지긋지긋할 정도로 적은 종류의 크리쳐들. 그 몇없는 종류 사냥, 수집이 전부인 지겨운 반복 일퀘. 회피, 막기, 투척 등의 시스템이 있지만 효율은 구","추천 할지 말 지 이분법 에서는 아니오 누르기 좀 그렇지만 , 이 거 잘 만든 게임 이냐 고 물어보면 확실하게 아니라고 말 할 수 있는 생존 게임 . 50 점 은 넘지만 51 점주 긴 아까운 느낌 이다 . 흔한 오픈월드 생존 공포 게임 . 게임 하면서 빡쳤던 요소 들 이 정말 다 쓰기 힘들 정도 로 많은데 , 쭉 나열 해보자면 게임 막바지 까지 별 감흥 없는 흔한 흐름이었다가 , 막판 에 신선할듯 어이없게 마무리 되는 스토리 . 진짜 지긋지긋할 정도 로 적은 종류 의 크리 쳐 들 . 그 몇 없는 종류 사냥 , 수집 이 전부 인 지겨운 반복 일 퀘 . 회피 , 막기 , 투척 등 의 시스템 이 있지만 효율 은 구",2020-08-24 21:10:30
671510,Desolate,positive,다 좋은데 제발 점프스케어좀 시발 ㅠㅠ 액션 서바이버 겜인줄알고 샀는데 계속 파밍하다 점프하게 만드네 게임이 약간 스토커 시리즈 비슷한데 총이 귀하니까 가난한 스토커 느낌이라고 생각하면 편해요 다잉라이트식 전투의 스토커 느낌이라고 해야하나,다 좋은데 제발 점프 스케 어 좀 시발 ㅠㅠ 액션 서바이버 겜 인 줄알 고 샀는데 계속 파밍 하다 점프 하게 만드 네 게임 이 약간 스토커 시리즈 비슷한데 총 이 귀하 니까 가난한 스토커 느낌 이라고 생각 하면 편해요 다 잉 라이트 식 전투 의 스토커 느낌 이라고 해야하나,2020-08-16 15:24:41
671510,Desolate,positive,꽤나 할게임없을때 같이하면 할만함,꽤 나 할 게임 없을 때 같이 하면 할만 함,2020-07-09 14:24:43
671510,Desolate,positive,내가 뭐때문에 이걸 샀는지 기억이 안나는대 일단 애들 존나 눈 좋더라,내 가 뭐 때문 에 이 걸 샀는지 기억 이 안나는대 일단 애 들 존나 눈 좋더라,2020-06-29 11:58:20
