app_id,app_name,sentiment,review_original,review_tokenized,timestamp
275390,Guacamelee! Super Turbo Championship Edition,positive,very interesting!! fun! fun! fun!,very interesting !! fun ! fun ! fun !,2020-12-25 13:30:13
275390,Guacamelee! Super Turbo Championship Edition,positive,오랜만에 재미있게 했다,오랜 만 에 재미있게 했다,2020-12-13 21:21:44
275390,Guacamelee! Super Turbo Championship Edition,positive,개꿀잼임 암말하지말고 해보삼,개꿀잼임 암 말 하지말고 해 보삼,2020-09-11 21:07:36
275390,Guacamelee! Super Turbo Championship Edition,positive,굳굳,굳 굳,2020-07-20 16:38:30
275390,Guacamelee! Super Turbo Championship Edition,positive,짧게 즐길수 있는 메트로베니아 찐 명작 강력 추천합니다,짧게 즐길수 있는 메트로 베니 아 찐 명작 강력 추천 합니다,2020-06-07 16:52:23
275390,Guacamelee! Super Turbo Championship Edition,positive,과카몰레 소스를 듬뿍 부운 루차 리브레 컨샙의 2D 플랫폼게임 깔끔한 그래픽과 괜찮은 타격감 흥겨운 사운드. 후반으로 갈수록 몹들의 개같은 패턴에 머리가 지끈거리지만 적당히 할만한 난이도다. 한글패치가 없지만 스토리가 단순해서 굳이 필요없다. 무료로 받음 게임이지만 재밌게 플레이 했음.,과카몰레 소스 를 듬뿍 부운 루차 리브 레 컨샙 의 2 D 플랫폼게임 깔끔한 그래픽 과 괜찮은 타 격감 흥겨운 사운드 . 후반 으로 갈수록 몹 들 의 개 같은 패턴 에 머리 가 지끈 거리 지만 적당히 할만 한 난이도 다 . 한글패치 가 없지만 스토리 가 단순해서 굳이 필요없다 . 무료 로 받음 게임 이지만 재밌게 플레이 했음 .,2020-05-14 21:41:35
275390,Guacamelee! Super Turbo Championship Edition,positive,이런 류 게임은 처음 해보는거 같은데 난이도도 딱 적당한 수준이고 콤보나 기술을 외우는게 재밌는거같습니다,이런 류 게임 은 처음 해보는거 같은데 난이도 도 딱 적당한 수준 이고 콤보 나 기술 을 외우는게 재밌는거 같습니다,2020-03-13 19:05:35
275390,Guacamelee! Super Turbo Championship Edition,positive,재밌네요,재밌네요,2020-02-16 02:51:19
275390,Guacamelee! Super Turbo Championship Edition,positive,생각없이 해야되는 조크 게임이다.,생각 없이 해야 되는 조 크 게임 이다 .,2019-12-29 00:21:48
275390,Guacamelee! Super Turbo Championship Edition,positive,"본인이 루차도르이며, 정의를 사랑한다면 무조건 해야하는 게임","본인 이 루 차도르 이며 , 정의 를 사랑 한다면 무조건 해야하는 게임",2019-12-21 19:45:24
275390,Guacamelee! Super Turbo Championship Edition,positive,순한맛 메트로배니아,순 한 맛 메트로 배니아,2019-12-05 13:36:25
275390,Guacamelee! Super Turbo Championship Edition,positive,이거 은근히 재밌네 ㅋㅋㅋ 허접 게임인줄 알았는데 엄청 잘 만들었음! 영어 몰라도 대충 스토리 이해감,이 거 은근 히 재밌네 ㅋㅋㅋ 허 접 게임 인 줄 알았는데 엄청 잘 만들었음 ! 영어 몰라도 대충 스토리 이 해감,2019-11-21 09:47:40
275390,Guacamelee! Super Turbo Championship Edition,positive,7/10 브금 흥겹고 액션 시원하고 재밌음. 무료로 주길래 잠깐 플레이해봤다.,7/10 브금 흥겹고 액션 시원하고 재밌음 . 무료 로 주길래 잠깐 플레이 해봤다 .,2019-11-14 21:34:10
275390,Guacamelee! Super Turbo Championship Edition,positive,게임 자체 퀼리티는 좋습니다. 내 머리(영어)와 손(조작)이 병신입니다.,게임 자체 퀼리티 는 좋습니다 . 내 머리 ( 영어 ) 와 손 ( 조작 ) 이 병신 입니다 .,2019-09-29 04:15:19
275390,Guacamelee! Super Turbo Championship Edition,positive,한글 지원이 안되지만 가볍게 즐기기엔 충분함 패드가 있다면 패드로 하는것을 추천,한글 지원이 안되지만 가볍게 즐 기기 엔 충분함 패드 가 있다면 패드 로 하는것을 추천,2019-09-28 23:41:17
275390,Guacamelee! Super Turbo Championship Edition,positive,생각도 안하고 있엇는데 개꿀잼 게임,생각 도 안 하고 있 엇 는데 개꿀잼 게임,2019-07-29 23:40:03
275390,Guacamelee! Super Turbo Championship Edition,positive,경쾌하고 재미나게 즐길 수 있는 게임~,경쾌하고 재미나 게 즐길 수 있는 게임 ~,2019-07-18 21:35:49
275390,Guacamelee! Super Turbo Championship Edition,positive,코코+근육맨=이거,코코 + 근육 맨 = 이 거,2019-07-02 23:09:01
275390,Guacamelee! Super Turbo Championship Edition,positive,패드로 하면 더 재밌습니다.,패드 로 하면 더 재밌습니다 .,2019-06-30 11:42:40
275390,Guacamelee! Super Turbo Championship Edition,positive,프로레슬링+멕시코 문화 테마를 가진 능력 해금 형식의 플랫폼 어드벤처 게임이다. 그래픽은 최종 보스 기둥 같은데서 살짝 아쉽지만 깔끔한 맛은 있는 편. 이 게임은 장점은 전투로 잡는 동안 무적 판정을 주고 회피 판정이 자비로서 시원시원하게 플레이할 수 있다. 다만 이런 플랫폼 게임이 언제나 그렇듯 이상한 곳에 숨겨진 보물상자는 싫다.,프로레슬링 + 멕시코 문화 테마 를 가진 능력 해금 형식 의 플랫폼 어드벤처 게임 이다 . 그래픽 은 최종 보스 기둥 같은데서 살짝 아쉽지만 깔끔한 맛 은 있는 편 . 이 게임 은 장점 은 전투 로 잡는 동안 무적 판정 을 주고 회피 판정 이 자비로서 시원시원하게 플레이 할 수 있다 . 다만 이런 플랫폼 게임 이 언제나 그렇듯 이상한 곳 에 숨겨진 보물상자 는 싫다 .,2019-06-21 09:19:50
275390,Guacamelee! Super Turbo Championship Edition,positive,[b]요약[/b] 이 게임 엔딩 보자마자 과카멜레 2 샀음. [b]장점[/b] + 적당한 난이도의 기본 플레이. + 맵 곳곳의 플랫포밍 퍼즐도 적당히 어려운 난이도. + 플레이타임은 스토리만 클리어하면 4시간 쯤에 적당히 숨겨진 아이템 모으고 사이드 퀘스트 깨고 하면 7시간 정도로 적당. + 사운드트랙이 매우 신남. + 액션이 신남. 극초반부터 적들을 붙잡고 다양한 레슬링 기술을 선보여줄 수 있음. 타격감도 좋음. + 2010년대 서양 인터넷 밈이나 게임 패러디 좋아하는 사람이라면 맵을 돌아다니면서 많이 웃을 수 있음. + 친근,[ b ] 요약 [/ b ] 이 게임 엔딩 보자마자 과 카멜 레 2 샀음 . [ b ] 장점 [/ b ] + 적당한 난이도 의 기본 플레이 . + 맵 곳곳 의 플랫 포밍 퍼즐 도 적당히 어려운 난이도 . + 플레이 타임 은 스토리 만 클리어 하면 4시간 쯤 에 적당히 숨겨진 아이템 모으고 사이드 퀘스트 깨고 하면 7시간 정도 로 적당 . + 사운드트랙 이 매우 신남 . + 액션 이 신남 . 극 초반 부터 적 들 을 붙잡고 다양한 레슬링 기술 을 선보여줄 수 있음 . 타 격감 도 좋음 . + 2010년 대 서양 인터넷 밈 이나 게임 패러디 좋아하는 사람 이 라면 맵 을 돌아다니면서 많이 웃 을 수 있음 . + 친 근,2019-06-11 13:03:21
275390,Guacamelee! Super Turbo Championship Edition,positive,한글 패치 해주세요 제발,한글 패치 해주세요 제발,2019-06-08 18:08:19
275390,Guacamelee! Super Turbo Championship Edition,positive,메트로베니아 게임이 가져야 할 요소들을 충분히 가지고 있고 액션이 깊이 있다. 경쾌한 음악과 호쾌한 타격감으로 7~8시간은 쉴 새 없이 할 수 있다. 플레이 중 느껴지는 몇가지 단점이 있는데 하나는 액션의 난이도가 메트로베니아 게임치고는 꽤 높다는 것 키보드로 하면 거의 격투게임에 비하는 손꼬임 장벽을 몇 번 겪게 된다. 손이 느려 빠른 커맨드 입력에 취약한 사람들에게는 비추천. 다른 단점은 메트로베니아 치고는 수집요소가 적다는 것. 그래서 플레이 타임도 길지 않다. 스킬은 스토리를 자연스럽게 따라가다 보면 전부 습득 및 구,메트로 베니 아 게임 이 가져야 할 요소 들 을 충분히 가지 고 있고 액션 이 깊이 있다 . 경쾌한 음악 과 호쾌 한 타 격감 으로 7~8시간 은 쉴 새 없이 할 수 있다 . 플레이 중 느껴지는 몇 가지 단점 이 있는데 하나 는 액션 의 난이도 가 메트로 베니 아 게임 치고는 꽤 높다는 것 키 보드 로 하면 거의 격투게임 에 비 하는 손 꼬임 장벽 을 몇 번 겪게 된다 . 손 이 느려 빠른 커맨드 입력 에 취약 한 사람 들 에게는 비 추천 . 다른 단점 은 메트로 베니 아 치고는 수집 요소 가 적다는 것 . 그래서 플레이 타임 도 길지 않다 . 스킬 은 스토리 를 자연 스럽게 따라가다 보면 전부 습득 및 구,2019-06-01 02:15:00
275390,Guacamelee! Super Turbo Championship Edition,positive,초반부터 피지컬 딸려서 퍼즐을 못풀겠음...피지컬 퍼즐들은 웬만하면 진행 요소말고 추가 보상으로 넣어뒀더라면 훨씬 좋았을 것 같음 구르기 할떄 털퍼덕더러럭 하는 소리가 너무 찰져서 좋음,초반 부터 피지 컬 딸려서 퍼즐 을 못 풀겠음 ... 피지 컬 퍼즐 들 은 웬만하면 진행 요소 말고 추가 보상 으로 넣어 뒀더라면 훨씬 좋았을 것 같음 구르기 할떄 털퍼 덕 더러 럭 하는 소리 가 너무 찰져서 좋음,2019-05-31 16:39:26
275390,Guacamelee! Super Turbo Championship Edition,positive,잘만듬 게임 ㅇㅈㅇㅈ,잘만 듬 게임 ㅇㅈㅇㅈ,2019-05-30 18:38:41
275390,Guacamelee! Super Turbo Championship Edition,positive,추천,추천,2019-05-30 10:51:11
275390,Guacamelee! Super Turbo Championship Edition,positive,무료로 받았으나 타격감 조지고 15500에 이정도면 혜자라고 생각함,무료 로 받았으나 타 격감 조지 고 15500 에 이 정도 면 혜자 라고 생각 함,2019-05-28 19:49:20
275390,Guacamelee! Super Turbo Championship Edition,positive,병맞같은 게임이지만 재미있네요.^^한글화가 조금 아쉽긴 하지만.. 영어 없어도 되는 게임이니..,병 맞 같은 게임 이지만 재미있네요 .^^ 한글화 가 조금 아쉽긴 하지만 .. 영어 없어도 되는 게임 이니 ..,2019-05-25 10:29:32
275390,Guacamelee! Super Turbo Championship Edition,positive,전에 번들로 풀었을 때 사놓고서 안 하다가 무료로 풀려버린 게임...ㅜ 섭섭하게 시작했지만 게임이 괜찮아서 만족. + 화려하면서 부드러운? 색감 + 타격감 좋음 + 남미틱 유쾌한 디자인 - 노한글ㅜ 남미식 영어가 섞여서 보기 어렵다,전 에 번 들 로 풀었을 때 사놓고서 안 하다가 무료 로 풀려 버린 게임 ... ㅜ 섭섭하게 시작 했지만 게임 이 괜찮아서 만족 . + 화려하면서 부드러운 ? 색감 + 타 격감 좋음 + 남미 틱 유쾌한 디자인 - 노 한글 ㅜ 남미 식 영어 가 섞여서 보기 어렵다,2019-05-24 00:58:26
275390,Guacamelee! Super Turbo Championship Edition,positive,유잼 난이도 딱 적당해서 간간히 플레이하기 좋음 근데 진엔딩 보려거나 달성과제 다깨려면 여러모로 좀 욕나옴 인페르노 닭새X 골인지점에 갖다넣기랑 tule tree 히든맵 진짜 야마도는줄 맵뺑뻉이도 지루하다 물론 노멀엔딩~진엔딩까지만 보기에는 딱 좋은 그런 겜 총평은 무난한 유잼겜이고 세일할때 사서 해보는거 추천 그래픽 중간중간 좀 벡터느낌 나지만 전체적으로 예쁘고 BGM 하나같이 개좋음,유잼 난이도 딱 적당해서 간간히 플레이 하기 좋음 근데 진 엔딩 보려거나 달성 과제 다 깨려면 여러 모로 좀 욕 나옴 인페르노 닭새 X 골인 지점 에 갖다 넣기 랑 tule tree 히든 맵 진짜 야마 도 는줄 맵뺑뻉이 도 지루하다 물론 노멀 엔딩 ~ 진 엔딩 까지만 보기 에는 딱 좋은 그런 겜 총 평 은 무난 한 유잼겜 이고 세 일 할 때 사서 해보는거 추천 그래픽 중간 중간 좀 벡터 느낌 나 지만 전체 적 으로 예쁘고 BGM 하나같이 개 좋음,2019-05-23 05:20:36
275390,Guacamelee! Super Turbo Championship Edition,positive,영어몰라도 진행 가능하고 재밌네요,영어 몰라도 진행 가능하고 재밌네요,2019-05-21 20:26:03
275390,Guacamelee! Super Turbo Championship Edition,positive,"플레이 해본지는 좀 오래됬지만, 험블에서 무료로 풀린 기념으로 이제와서 이 게임에 대한 리뷰를 한번적어보자면, 남미 루차도르의 소울이 느껴지는 메트로배니아 플랫포머 액션의 걸작. 타격-잡기-타격으로 끊임없이 이어지는 콤보시스템의 타격감이 정말 재미있다. 멕시코 스타일의 흥겨운 OST는 덤. 정도로 요약 가능하겠다. 가끔가다 난이도 어렵고 조작 불편하다는 사람이 있는데, 그건 뭐 개인차가 있는 부분이니.... (참고로 나는 별로 불편한걸 못 느꼈다) 빠르게 달리면 5,6시간안에 도전과제 100%달성이 가능하긴 한데, 그건 골드","플레이 해본지는 좀 오래됬지만 , 험블 에서 무료 로 풀린 기념 으로 이제 와 서 이 게임 에 대한 리뷰 를 한 번적 어보 자 면 , 남미 루 차도르 의 소울 이 느껴지는 메트로 배니아 플랫포머 액션 의 걸작 . 타격 - 잡기 - 타격 으로 끊임없이 이어지는 콤보 시스템 의 타 격감 이 정말 재미있다 . 멕시코 스타일 의 흥겨운 OST 는 덤 . 정도 로 요약 가능하겠다 . 가끔가다 난이도 어렵고 조작 불편하다는 사람 이 있는데 , 그건 뭐 개인 차가 있는 부분 이니 .... ( 참고 로 나 는 별로 불편한 걸 못 느꼈다 ) 빠르게 달리 면 5 , 6시간 안에 도전 과제 100% 달성 이 가능하긴 한데 , 그건 골드",2019-05-18 21:01:56
275390,Guacamelee! Super Turbo Championship Edition,positive,액션과 타격감은 괜찮았는데 포탈 방식이 너무 불편하새 아쉬웠네요 기술 얻고 이곳저곳 돌아다녀야 되는곳이 엄청 많은데 포탈이 불편해서 오브젝트 다 모으기가 영 불편한거 뺴고는 만족스러웠습니다.,액션 과 타 격감 은 괜찮았는데 포탈 방식 이 너무 불편하 새 아쉬웠네요 기술 얻고 이 곳 저 곳 돌아다녀야 되는 곳 이 엄청 많은데 포탈 이 불편해서 오브젝트 다 모으 기 가 영 불편한거 뺴고 는 만족스러웠습니다 .,2019-04-14 22:56:59
