app_id,app_name,sentiment,review_original,review_tokenized,timestamp
1289310,Helltaker,negative,공짜로 받아서 나쁜말은 하지않겠습니다. 아재들은 티비에서 리모콘으로 하시던 그 게임 기억나실거에요 그 게임과 같습니다 하지만 게임의 진짜 난이도는 퍼즐이 끝나고 나서 시작됩니다 미연시 악마들을 꾀기위한 당신의 생각 반대로 하십쇼 악마는 당신의 생각대로 움직여주지않아요 기억하세요 반대로 하십쇼,공짜 로 받아서 나쁜말은 하지 않겠습니다 . 아 재 들 은 티비 에서 리모콘 으로 하시던 그 게임 기억나실거에요 그 게임 과 같습니다 하지만 게임 의 진짜 난이도 는 퍼즐 이 끝나고 나서 시작 됩니다 미연시 악마 들 을 꾀기 위 한 당신 의 생각 반대 로 하십 쇼 악마 는 당신 의 생각 대로 움직여주지 않아요 기억 하세요 반대 로 하십 쇼,2021-01-16 23:50:25
1289310,Helltaker,negative,플탐이 너무 짧음 맵 10개밖에 안되고 퍼즐도 단순하고 어렵고 보스전은 운이 좋아야 깰 수 있음 브금도 별로,플 탐이 너무 짧음 맵 10 개 밖에 안되고 퍼즐 도 단순하고 어렵고 보스 전 은 운 이 좋아야 깰 수 있음 브금 도 별로,2021-01-12 00:14:15
1289310,Helltaker,negative,정.말.재.밌.었.습.니.다 키알ㅗ,정 . 말 . 재 . 밌 . 었 . 습 . 니 . 다 키알 ㅗ,2021-01-10 23:59:46
1289310,Helltaker,negative,단체로 광신도한테 세뇌당한 것도 아니고 이게 압도적으로 긍정적이라고? 안그래도 븅신같았던 게임이 씹덕들 빨아주는거 때문에 더 역겹게 보인다 쓰레기 게임,단체 로 광신도 한테 세뇌 당 한 것 도 아니고 이 게 압도 적 으로 긍정 적 이라고 ? 안 그래도 븅신 같았던 게임 이 씹덕 들 빨아주는거 때문 에 더 역겹게 보인다 쓰레기 게임,2020-12-21 00:04:52
1289310,Helltaker,negative,씨발 노잼,씨발 노잼,2020-12-06 02:07:02
1289310,Helltaker,negative,게임성이 좋았지만 악성팬덤과 악마하렘폭도들 때문에 약간꺼리는게임,게임 성 이 좋았지만 악성 팬덤 과 악마 하렘 폭도 들 때문 에 약간 꺼리는 게임,2020-11-29 11:48:02
1289310,Helltaker,negative,망겜,망겜,2020-11-08 22:14:32
1289310,Helltaker,negative,퍼즐은 잘만들었다 재밌다 근데 이 게임을 엔딩까지 플레이하면서 쭉 언더테일의 냄새를 느꼈다 게임성에서가 아닌 왠지 이게임을 빠는 팬덤은 과거 언더테일의 팬덤과 같을 것 같았다 유튜브 상태보면 대충 맞는거 같음,퍼즐 은 잘 만들었다 재밌다 근데 이 게임 을 엔딩 까지 플레이 하면서 쭉 언 더테일 의 냄새 를 느꼈다 게임 성 에서가 아닌 왠지 이 게임 을 빠는 팬덤 은 과거 언 더테일 의 팬덤 과 같을 것 같았다 유튜브 상태 보면 대충 맞는거 같음,2020-11-06 15:12:30
1289310,Helltaker,negative,그닥,그닥,2020-10-30 16:55:33
1289310,Helltaker,negative,fuc,fuc,2020-10-21 00:42:35
1289310,Helltaker,negative,.,.,2020-10-11 22:43:11
1289310,Helltaker,negative,안합니다.,안 합니다 .,2020-10-03 20:47:02
1289310,Helltaker,negative,캐릭터는 귀여운데 그게 끝.,캐릭터 는 귀여운데 그게 끝 .,2020-09-28 19:45:20
1289310,Helltaker,negative,너무 재밌어서 개발진 뇌를 마셔버리고 싶을 정도임 맛있게 뜯어 먹고 싶음,너무 재밌어서 개발 진 뇌 를 마셔 버리고 싶을 정도 임 맛있게 뜯어 먹고 싶음,2020-08-31 01:04:53
1289310,Helltaker,negative,이 게임은 씹덕들한테 감사해야한다. 대사가 한페이지도 안되는데 캐릭터성은 무슨 얼어죽을 캐릭터성. 조작감이 너무 안좋다 대각선으로 피하고싶은데 캐릭터가 너무 느려서 피하기 전에 쳐맞는다. 무료겜 스럽게 단순하고 쉬운 패턴인데 망할 조작감때문에 패턴과 타이밍을 외워야 깰 수 있음 이딴 개 허접 게임에 지기 싫어서 오기로 깼다 망할 조작감. 이 게임은 그림 예쁜거 빼고 좋을게 없다. 무료겜이면 무료겜스럽게 뭐 대단한거 만드려고 하지 말고 공짜스럽게만 만들어라.. 이 게임은 플레이타임이 너무 아까운 게임이다. 내 잃어버린 2시간 어,이 게임 은 씹덕 들 한테 감사해야 한다 . 대사 가 한 페이지 도 안되는데 캐릭터 성은 무슨 얼어 죽 을 캐릭터 성 . 조 작 감 이 너무 안좋다 대각선 으로 피하 고 싶은데 캐릭터 가 너무 느려서 피 하기 전 에 쳐 맞는다 . 무료 겜 스럽게 단순하고 쉬운 패턴 인데 망할 조 작 감 때문 에 패턴 과 타이밍 을 외워야 깰 수 있음 이딴 개 허 접 게임 에 지기 싫어서 오기 로 깼다 망할 조작 감 . 이 게임 은 그림 예쁜거 빼고 좋을게 없다 . 무료 겜 이 면 무료 겜 스럽게 뭐 대단한거 만 드려고 하지 말고 공짜 스럽게 만 만들어라 .. 이 게임 은 플레이 타임 이 너무 아까운 게임 이다 . 내 잃어버린 2시간 어,2020-08-23 12:29:34
1289310,Helltaker,negative,히든엔딩봤는데... 사람들 후기보고 잔뜩 기대하고 플레이해서 그런가.. 감흥 1도 없다. 무료라고는 하지만 너무 노잼,히든 엔딩 봤는데 ... 사람 들 후기 보고 잔뜩 기대하고 플레이 해서 그 런가 .. 감흥 1 도 없다 . 무료 라고는 하지만 너무 노잼,2020-08-20 10:07:17
1289310,Helltaker,negative,만들다말았다는 느낌을 강하게 받은 게임,만들다말았다는 느낌 을 강하게 받은 게임,2020-08-14 06:30:59
1289310,Helltaker,negative,와 진짜 세계관 최강자의 게임이다 그 찐따같던 헬테이커다 이런 ㅅㅂ 진짜 다시는 안 한다 그냥 트위터랑 근근웹 ㅅㄲ들이 지들 캐릭터 핥짝거리려고 처 하는 게임 역겨워서 더 이상 할 수가 없다. 걍 하지마,와 진짜 세계관 최강 자의 게임 이다 그 찐 따 같던 헬테이커 다 이런 ㅅㅂ 진짜 다시는 안 한다 그냥 트위터 랑 근 근 웹 ㅅㄲ 들이 지 들 캐릭터 핥 짝 거리 려고 처 하는 게임 역겨워서 더 이상 할 수가 없다 . 걍 하지마,2020-08-12 01:51:11
1289310,Helltaker,negative,보스가 너무 어려웠고 조작감도 이상했음..,보스 가 너무 어려웠고 조작 감도 이상했음 ..,2020-08-05 16:29:22
1289310,Helltaker,negative,"nerd fuel, that's all.","nerd fuel , that ' s all .",2020-07-18 14:35:40
1289310,Helltaker,negative,쏘쏘,쏘 쏘,2020-07-14 15:10:06
1289310,Helltaker,negative,씹뜨억 죽어,씹 뜨 억 죽어,2020-07-09 21:29:47
1289310,Helltaker,negative,ㅅ ㅂ,ㅅ ㅂ,2020-07-08 14:46:11
1289310,Helltaker,negative,괜찬긴 한데 전체적으로 퍼즐이 쉬워도 너무 쉽다... 길이도 굉장히 짦고... 무료겜이라 나은거지. 돈주고는 안할듯... 먼가 대화가 다양하다거나 그런것도 딱히 아니라서 한번 다 깨고 나면 굳이 손댈일이 없다.,괜찬긴 한데 전체 적 으로 퍼즐 이 쉬워도 너무 쉽다 ... 길이 도 굉장히 짦 고 ... 무료 겜 이라 나은 거지 . 돈 주고는 안 할듯 ... 먼가 대화 가 다양하다거나 그런 것 도 딱히 아니라서 한번 다 깨고 나면 굳이 손댈 일이 없다 .,2020-07-07 04:23:10
1289310,Helltaker,negative,하지마,하지마,2020-07-05 17:33:51
1289310,Helltaker,negative,똥겜,똥겜,2020-07-05 02:14:47
1289310,Helltaker,negative,"쓰레기. 팬심으로 과대평가받은 행운의 게임이였으며, 그 외에 여러모로 작고, 혹은 작다고 볼 수 없는 단점이 있지만 가장 큰것, 단 한가지만 꼽자면 ""갈수록 스테이지가 점점 진행될수록 지속되는 밸붕""이 중심적인 단점인 것 같다. 추가로 나랑 비슷하게 플레이한 사람들이 게임을 좋아한다 해서 플레이를 한 경향도 나름 있었는데 스팀도 이 평가를 남김으로써 내 추천에 이 게임이 사라지길 바란다. + 개인적으로 시간 아까웠음.","쓰레기 . 팬심 으로 과대 평가 받은 행운 의 게임 이 였으며 , 그 외 에 여러 모로 작고 , 혹은 작다고 볼 수 없는 단점 이 있지만 가장 큰것 , 단 한가지 만 꼽자 면 "" 갈수록 스테이지 가 점점 진행 될수록 지속 되는 밸붕 "" 이 중심 적 인 단점 인 것 같다 . 추가 로 나 랑 비슷하게 플레이 한 사람 들 이 게임 을 좋아한다 해서 플레이 를 한 경향 도 나름 있었는데 스팀 도 이 평가 를 남김으로써 내 추천 에 이 게임 이 사라지길 바란다 . + 개인 적 으로 시간 아까웠음 .",2020-07-04 01:59:36
1289310,Helltaker,negative,"퍼즐은 나름 잘 짰다 생각하지만 분량이 짧고 참신하지는 않으며 캐릭터성 운운하는데 그 캐릭터성은 결단코 일본 야겜들에 비할바가 못된다. 고전 야겜들보다 눈알 큰 애들이 이쁘다는거에 공감도 안간다. 즉 캐릭터성의 강조는 나에게 있어 오히려 마이너스 요소에 불과했을 뿐이다. 요새 이런 게임들이 흥행하는거 보면 확실히 인방이 대세가 되었다는걸 체감한다. 방송을 하는 사람들이 성인 컨텐츠를 방송에 노출시킬 수 없기에 이런 어중간한 게임들이 오히려 진짜 성인겜을 밀어낸다. 단순 퍼즐게임은 관람하는 재미도, 화제성도 부족하기에 인방에 적합","퍼즐 은 나름 잘 짰다 생각 하지만 분량 이 짧고 참신하지는 않으며 캐릭터 성 운운하는데 그 캐릭터 성은 결단코 일본 야겜 들 에 비 할 바 가 못 된다 . 고전 야겜 들 보다 눈알 큰 애 들 이 이쁘다는거에 공감 도 안 간다 . 즉 캐릭터 성의 강조 는 나 에게 있어 오히려 마이너스 요소 에 불과했을 뿐 이다 . 요새 이런 게임 들 이 흥행 하는거 보면 확실히 인 방이 대세 가 되었다는걸 체감 한다 . 방송 을 하는 사람 들 이 성인 컨텐츠 를 방송 에 노출 시킬 수 없기에 이런 어중간한 게임 들 이 오히려 진짜 성인 겜 을 밀어 낸다 . 단순 퍼즐게임 은 관람 하는 재미 도 , 화제 성도 부족하기에 인방 에 적합",2020-07-01 19:28:02
1289310,Helltaker,negative,게임은 재밌었나? 하면서 졸라 빡쳐서 좆같았던 게임으로 기억이 남는군,게임 은 재밌었나 ? 하면서 졸라 빡쳐서 좆 같았던 게임 으로 기억 이 남는군,2020-06-29 22:09:20
1289310,Helltaker,negative,중갤 개념글 도배 존나 되길래 어디한번 해본 겜 퍼즐요소 머리좀 써야하는데 노잼이고 케릭빨 겜 아니나 다를까 네덕 트위터 씹덕 듀라한 빠는 씹덕들이 존나 빨더라 퍼즐은 비슷한 15년전에 휴대폰 기본 겜중에 폭탄 집에 넣는겜이 있는데 그게 훨 잼슴 ㄹㅇ 게임은 가볍게 잘 만들었음 다만 이거 엄청난 갓겜입니다 ㅠㅠ 이지랄하는 새끼들 역겨워서 비추천함 보글보글 거품겜,중 갤 개념 글 도배 존나 되길래 어디 한번 해본 겜 퍼즐 요소 머리 좀 써야하는데 노잼 이고 케릭 빨 겜 아니나 다를까 네 덕 트위터 씹덕 듀라 한 빠는 씹덕 들 이 존나 빨더라 퍼즐 은 비슷한 15년 전에 휴대폰 기본 겜 중 에 폭탄 집 에 넣는 겜 이 있는데 그게 훨 잼슴 ㄹㅇ 게임 은 가볍게 잘 만들었음 다만 이 거 엄청난 갓 겜 입니다 ㅠㅠ 이 지랄 하 는 새끼 들 역겨워서 비추 천함 보글보글 거품 겜,2020-06-28 21:31:28
1289310,Helltaker,negative,퍼즐게임에 씹덕 넣으면 갓겜됨 엌ㅋㅋㅋㅋㅋㅋ,퍼즐게임 에 씹덕 넣으면 갓 겜 됨 엌 ㅋㅋㅋㅋㅋㅋ,2020-06-27 11:33:32
1289310,Helltaker,negative,시발,시발,2020-06-24 19:54:18
1289310,Helltaker,negative,솔직히 유튜브 여기저기서 많이하길래 ㄹㅇ 재밌는 갓겜 나왔나 했더니 내가 하기엔 약간 밋밋했음 퍼즐은 밋밋한데 재밌다고하는사람들은 대부분 게임 디자인 맘에 들어서 좋아한듯 십덕취향가진사람은 좋아할 듯;; 그래도 무료겜치고 ㄱㅊ음,솔직히 유튜브 여기저기 서 많이하길래 ㄹㅇ 재밌는 갓 겜 나왔나 했더니 내 가 하기엔 약간 밋밋했음 퍼즐 은 밋밋한데 재밌다고하는 사람 들 은 대부분 게임 디자인 맘 에 들어서 좋아한듯 십덕 취향 가진 사람 은 좋아할 듯 ;; 그래도 무료 겜 치고 ㄱㅊ 음,2020-06-24 13:28:42
1289310,Helltaker,negative,내 취향 아님,내 취향 아님,2020-06-24 02:25:06
1289310,Helltaker,negative,ㅋㅋ시발 씹덕게임이었노,ㅋㅋ 시발 씹덕 게임 이었노,2020-06-23 00:04:24
1289310,Helltaker,negative,만점에 가까운 캐릭터. 그러나 게임성은 낙제. 퍼즐 게임이 갑자기 종반에 액션으로 변합니다. 거기까지는 충분히 이해가 되지만 그 액션 파트의 난이도가 비정상입니다. 공략법 없이 피지컬을 시험해요. 그 전까지는 기분 좋게 퍼즐 풀다가 액션 파트에서 짜증이 확 몰려오더군요. 결국 액션 파트 하다가 때려쳤습니다. 심지어 퍼즐 파트는 스킵이 가능한데 액션 파트는 스킵도 안 돼요. 이 불공평함은 대체 뭔지 모르겠습니다. 이걸 게임으로 소비하지 마세요. 그냥 캐릭터를 소비하세요. 캐릭터만 봐도 DLC를 구매할 가치는 충분합니다.,만점 에 가까운 캐릭터 . 그러나 게임 성은 낙제 . 퍼즐 게임 이 갑자기 종반 에 액션 으로 변합니다 . 거기 까지는 충분히 이해 가 되지만 그 액션 파트 의 난이도 가 비정상 입니다 . 공략 법 없이 피지 컬 을 시험 해요 . 그 전 까지는 기분 좋게 퍼즐 풀다 가 액션 파트 에서 짜증 이 확 몰려오더군요 . 결국 액션 파트 하다가 때려 쳤습니다 . 심지어 퍼즐 파트 는 스킵 이 가능한데 액션 파트 는 스킵 도 안 돼요 . 이 불공평함은 대체 뭔 지 모르겠습니다 . 이 걸 게임 으로 소비 하지 마세요 . 그냥 캐릭터 를 소비 하세요 . 캐릭터 만 봐도 DLC 를 구매 할 가치 는 충분합니다 .,2020-06-22 12:22:23
1289310,Helltaker,negative,캐릭터가 중요한 이유,캐릭터 가 중요한 이유,2020-06-22 04:07:05
1289310,Helltaker,negative,좇갔네,좇갔 네,2020-06-21 00:33:40
1289310,Helltaker,negative,"제2의 언더테일이자 컵헤드 악마들은 헬테이커 좃집이지 니들 좃집이 아니다 니들보고 모데우스도 ""아;; 이건 좀;;"" 할걸 여기 적힌 평가만 봐도 딱 그짝이 보인다 시발 ㅋㅋㅋㅋ","제 2 의 언 더테 일 이자 컵 헤드 악마 들 은 헬테이커 좃집 이지 니 들 좃집 이 아니다 니 들보 고 모 데 우스 도 "" 아 ;; 이건 좀 ;;"" 할 걸 여기 적힌 평가 만 봐도 딱 그 짝 이 보인다 시발 ㅋㅋㅋㅋ",2020-06-16 18:52:25
1289310,Helltaker,negative,진심 이게 재밌거나 꼴리냐...,진심 이 게 재밌거나 꼴리냐 ...,2020-06-16 11:42:20
1289310,Helltaker,negative,킬링타임용 노래는내취향아님,킬링타임 용 노래 는 내 취향 아님,2020-06-15 15:21:15
1289310,Helltaker,negative,"개인적으로 큰 재미는 없었고, 왜 루리웹같은데서 2차창작이 그렇게 난무하는건지 이해가 안되긴한데. 게임으로서 가치가 있다기보단 캐릭터성 그 자체 하나로 어딘가 숨어있던 사람들의 니즈를 긁어줬다는 점에서 상징적이라고 봤습니다. 정장악마덕후들이 이렇게 많을줄은.. 세상엔 이보다 더 좋은 인디/무료게임이 많지만, 뭐 그렇다고 좋아하는 사람을 무시할 필요는 없겠지요. 어쨌든 저는 재미없었으므로 그냥 아니요를 누르고 갑니다.","개인 적 으로 큰 재미 는 없었고 , 왜 루리웹 같은데서 2 차 창작 이 그렇게 난무 하는 건지 이해 가 안되 긴한데 . 게임 으로서 가치 가 있 다기 보단 캐릭터 성 그 자체 하나로 어딘가 숨어있던 사람 들 의 니 즈 를 긁어 줬다는 점 에서 상징 적 이라고 봤습니다 . 정장 악마 덕후 들 이 이렇게 많을줄은 .. 세상 엔 이보 다 더 좋은 인디 / 무료 게임 이 많지만 , 뭐 그렇다고 좋아하는 사람 을 무시 할 필요 는 없겠지요 . 어쨌든 저 는 재미없었으므로 그냥 아 니요 를 누르고 갑니다 .",2020-06-15 01:31:59
1289310,Helltaker,negative,너무 쉬운데 엔딩뭐죠,너무 쉬운데 엔딩 뭐 죠,2020-06-13 17:12:24
