app_id,app_name,sentiment,review_original,review_tokenized,timestamp
341800,Keep Talking and Nobody Explodes,positive,나 이 게임 너무 좋아해요,나 이 게임 너무 좋아해요,2021-01-17 22:21:27
341800,Keep Talking and Nobody Explodes,positive,주변의 친구들이 적어도 폭탄을 터뜨리지는 않아서 만족스럽다.,주변 의 친구 들 이 적어도 폭탄 을 터뜨리지는 않아서 만족스럽다 .,2021-01-13 22:50:48
341800,Keep Talking and Nobody Explodes,positive,같이 할 사람만 있으면 ㄹㅇ 갓겜임,같이 할 사람 만 있으면 ㄹㅇ 갓 겜임,2021-01-07 03:57:50
341800,Keep Talking and Nobody Explodes,positive,종말 재미땀 ㅎㅎ,종말 재미 땀 ㅎㅎ,2021-01-06 19:30:43
341800,Keep Talking and Nobody Explodes,positive,"이 게임은 두 명이서 플레이 하는 게임입니다. 게임을 키고 플레이 하시는 한 명은 폭탄을 해체하러 간 사람과 매뉴얼 창을 띄우고 폭탄 해체할 방법을 설명해주는 사람 두 명이서요. 호흡이 잘 맞는 사람과 플레이 한다면 정말 성취감도 좋고 오기도 나며, 계속 도전하고 싶게끔 하는 게임입니다. 스팀 친구 중 이 게임을 플레이 했던 사람이 있다면, 그 사람들의 기록과 제 기록을 순위로 보여주니, 이를 넘어서고자 계속 같은 레벨을 도전하기도 합니다. 호흡이 잘 맞지 않는 사람과 플레이한다면, 정말 멀리서 보면 희극이고 가까이서 보면 비극","이 게임 은 두 명 이서 플레이 하는 게임 입니다 . 게임 을 키 고 플레이 하시는 한 명 은 폭탄 을 해체 하러 간 사람과 매뉴얼 창 을 띄우고 폭탄 해체 할 방법 을 설명 해주는 사람 두 명 이서 요 . 호흡 이 잘 맞는 사람과 플레이 한다면 정말 성취 감도 좋고 오기 도 나며 , 계속 도전 하고 싶게끔 하는 게임 입니다 . 스팀 친구 중 이 게임 을 플레이 했던 사람 이 있다면 , 그 사람 들 의 기록 과 제 기록 을 순위 로 보여주니 , 이를 넘어서고자 계속 같은 레벨 을 도전 하기도 합니다 . 호흡 이 잘 맞지 않는 사람과 플레이 한다면 , 정말 멀리 서 보면 희극 이고 가까이 서 보면 비극",2020-12-31 23:56:52
341800,Keep Talking and Nobody Explodes,positive,의외로 아주 재미있네요,의외로 아주 재미있네요,2020-12-30 10:27:06
341800,Keep Talking and Nobody Explodes,positive,게임을 샀는데 같이할 사람이 없넹 같이 할솨람~,게임 을 샀는데 같이 할 사람 이 없넹 같이 할 솨람 ~,2020-12-29 22:00:39
341800,Keep Talking and Nobody Explodes,positive,야 뭐있냐니펑,야 뭐 있냐니 펑,2020-12-29 21:19:47
341800,Keep Talking and Nobody Explodes,positive,짧짧짧 긴긴긴 짧짧짧,짧 짧 짧 긴 긴긴 짧 짧 짧,2020-12-29 03:37:15
341800,Keep Talking and Nobody Explodes,positive,친동생이랑 두시간 해봤는데 처음 몇 판만 어버버 거리지 생각보다 금방 적응되고 퀴즈 이제 거기서 거기입니다. 퀴즈의 수가 여기의 100배는 넘는데다 항상 바뀌어서 그 때 그 때 직관적인 설명으로 이해하고 풀었으면 좋겠습니다. 지금은 생각보다 쉬움. 되게 재미있게 했습니다.,친 동생 이랑 두 시간 해봤는데 처음 몇 판 만 어버버 거리 지 생각 보다 금방 적응 되고 퀴즈 이제 거기 서 거기 입니다 . 퀴즈 의 수가 여기 의 100 배는 넘는데다 항상 바뀌어서 그 때 그 때 직관 적 인 설명 으로 이해 하고 풀었으면 좋겠습니다 . 지금 은 생각 보다 쉬움 . 되게 재미있게 했습니다 .,2020-12-26 23:22:20
