app_id,app_name,sentiment,review_original,review_tokenized,timestamp
629760,MORDHAU,positive,Fix Asian servers please..,Fix Asian servers please ..,2021-01-15 22:43:37
629760,MORDHAU,positive,di hoa,di hoa,2021-01-11 07:47:15
629760,MORDHAU,positive,잼,잼,2021-01-01 18:17:46
629760,MORDHAU,positive,인디게임 중세시대 전투겜중 탑,인디 게임 중세시대 전투 겜 중 탑,2021-01-01 14:05:44
629760,MORDHAU,positive,핑좋은 서버도 별로없고 있더라도 사람이 없거나 고인물들이랑 1ㄷ1하는거라 고인물들한테 맞으면서 배우는거 싫어하는사람들은 벼로 추천안함 근데 난 좋아함 ㅎ,핑좋 은 서버 도 별로 없고 있더라도 사람 이 없거나 고 인물 들 이랑 1 ㄷ 1 하는거라 고 인물 들 한테 맞으면서 배우는거 싫어하는 사람 들 은 벼로 추천 안함 근데 난 좋아함 ㅎ,2020-12-31 22:31:02
629760,MORDHAU,positive,모든 격투게임이 그러하듯이 고인물들한테 모르면 맞아야지로 맞습니다. 근데 재밋습니다. 점점 성장해가는,모든 격투게임 이 그러하듯이 고 인물 들 한테 모르면 맞아야지로 맞습니다 . 근데 재밋습니 다 . 점점 성장해가는,2020-12-31 03:15:13
629760,MORDHAU,positive,아 ㅋㅋ 존나 재밌으니깐 꼭 하라고,아 ㅋㅋ 존나 재밌으니깐 꼭 하라 고,2020-12-28 23:41:44
629760,MORDHAU,positive,오홍홍 좋아용,오 홍홍 좋아용,2020-12-20 21:41:06
629760,MORDHAU,positive,재미있긴 하지만 전투가 너무 날것이라는 단점이 있음. 여타 다른 액션장르의 게임적 허용에 익숙한 사람이라면 적응이 힘들수도.,재미있긴 하지만 전투 가 너무 날것이라는 단점 이 있음 . 여타 다른 액션 장르 의 게임 적 허용 에 익숙한 사람 이 라면 적응 이 힘들수도 .,2020-12-13 19:21:55
629760,MORDHAU,positive,"좀 어렵지만 일단 그래픽이랑 실제 전투 고증을 잘살렸고 타격감도 좋구묘, 촤적화도 괞찮고 무기는 모으기 좀 빡세요, 그리고 하기가 많이 어려우실수도 있구요. 만약 가볍게 하고 싶다면 비추, 몰입하거나, 내가 한번 고인물이 되어보겠다. 하면 추천입니다.","좀 어렵지만 일단 그래픽 이랑 실제 전투 고증 을 잘 살렸고 타 격감 도 좋구 묘 , 촤적화 도 괞찮 고 무기 는 모으기 좀 빡세 요 , 그리고 하기가 많이 어려우실수도 있구요 . 만약 가볍게 하고 싶다면 비추 , 몰입 하 거나 , 내 가 한번 고 인물 이 되어 보겠다 . 하면 추천 입니다 .",2020-12-08 14:36:04
