app_id,app_name,sentiment,review_original,review_tokenized,timestamp
425580,The Room Two,positive,게임하면서 분위기 때문에 오줌 한 3번지린듯 근데 퀄은 개좋음,게임 하면서 분위기 때문 에 오줌 한 3 번 지린듯 근데 퀄 은 개 좋음,2021-01-15 14:25:44
425580,The Room Two,positive,평가 : ★★★★★ 할인기간에 산 만큼 가성비는 완벽함. 예상하지 못한 쫄깃함. 생각보다 쉬운듯 쉽지않은 난이도. 스토리보다는 퍼즐 중심의 전개. 차기작에는 스토리를 조금만 보충해서 더 볼륨있는 게임이 나왔으면 좋을 듯 함. 믿고 사도 됨.,평가 : ★★★★★ 할인 기간 에 산 만큼 가성 비는 완벽함 . 예상 하지 못 한 쫄깃함 . 생각 보다 쉬운듯 쉽지 않은 난이도 . 스토리 보다는 퍼즐 중심 의 전개 . 차기작 에는 스토리 를 조금 만 보충 해서 더 볼륨 있는 게임 이 나왔으면 좋을 듯 함 . 믿고 사도 됨 .,2021-01-09 22:47:33
425580,The Room Two,positive,1을 했다면 2도 해야되겠지,1 을 했다면 2 도 해야되 겠지,2021-01-03 02:09:07
425580,The Room Two,positive,와우 역시 짱재밌어요! 굿굿,와우 역시 짱 재밌어요 ! 굿굿,2020-12-30 04:54:06
425580,The Room Two,positive,재밌어요 너무어렵지않고 난이도도적절함ㅎㅎ 잼서요 잼서요,재밌어요 너무 어렵지 않고 난이도 도 적절함 ㅎㅎ 잼서요 잼서요,2020-12-29 15:27:48
425580,The Room Two,positive,능지 딸리면 사지마셈 개후회함22222,능지 딸리면 사지마 셈 개 후회 함 22222,2020-12-18 16:51:18
425580,The Room Two,positive,소소한 연출에 웅장해지는 가슴,소소한 연출 에 웅장 해지는 가슴,2020-12-11 16:41:52
425580,The Room Two,positive,중간에 사실 조금 무서웠음 아니 무서운 느낌이었지만 나는 무서워하지 않았다 !!,중간 에 사실 조금 무서웠음 아니 무서운 느낌이었지만 나 는 무서워하지 않았다 !!,2020-12-11 02:20:52
425580,The Room Two,positive,1도 재밌게 했는데 2도 재밌네요 그냥 해보려다가 2에서부터 막혀서ㅋㅋㅋㅋ한국어패치 하시고 하세요ㅠㅠ 퍼즐 푸는것도 정말 재밌는데 풀었을때 일어나는 일? 연출이 좋아요. 개인적으로 1보다 더 음산한 분위기로 느껴졌습니다. 밤에 혼자서 불끄고하다가 사운드때문에 좀 무서웠어요...,1 도 재밌게 했는데 2 도 재밌네요 그냥 해보려다가 2 에서부터 막혀서 ㅋㅋㅋㅋ 한국어 패치 하시고 하세요 ㅠㅠ 퍼즐 푸는것도 정말 재밌는데 풀었을 때 일어나는 일 ? 연출 이 좋아요 . 개인 적 으로 1 보다 더 음산한 분위기 로 느껴졌습니다 . 밤 에 혼자 서 불 끄고하다가 사운드 때문 에 좀 무서웠어요 ...,2020-12-11 00:31:43
425580,The Room Two,positive,EZ,EZ,2020-12-06 01:35:26
425580,The Room Two,positive,1. 장점 : 공포 분위기를 조성하여 몰입감 증대 2. 단점 : 전작 대비 화면이 너무 어두움,1 . 장점 : 공포 분위기 를 조성하 여 몰입 감 증대 2 . 단점 : 전작 대비 화면 이 너무 어두움,2020-12-04 23:29:11
425580,The Room Two,positive,갓겜,갓 겜,2020-12-02 22:59:19
425580,The Room Two,positive,방탈출 퍼즐게임 깔끔하고 흥미롭게 잘만들었음 너무어두워서 밝기좀 높이고 플레이하는것 추천 한글화있으니 적용시키고 하세요 전작과 마찬가지로 퍼즐 다푸니까 도전과제 올클이네요,방 탈출 퍼즐게임 깔끔하고 흥미롭게 잘 만들었음 너무 어두워서 밝기 좀 높이 고 플레이 하는것 추천 한글화 있으니 적용 시키고 하세요 전작 과 마찬가지 로 퍼즐 다 푸니까 도전 과제 올 클이네요,2020-11-18 21:40:11
