app_id,app_name,sentiment,review_original,review_tokenized,timestamp
1015500,WWE 2K20,positive,재밌는데...그래픽도 좋고..아직까진 재밌게 하고있음..!! 다만 wwe2k오리지날인가..그모드해보려는데 왜 인터넷연결 오프라인이라고 나오는것인지..ㅠㅠ 암튼 재밌습니다..겨울할인할때 사서..싸게샀어요..,재밌는데 ... 그래픽 도 좋고 .. 아직 까진 재밌게 하고있음 ..!! 다만 wwe 2 k 오리 지날인가 .. 그 모드 해보려는데 왜 인터넷 연결 오프라인 이라고 나오는것인지 .. ㅠㅠ 암튼 재밌습니다 .. 겨울 할인 할 때 사서 .. 싸게 샀어요 ..,2021-01-05 19:11:15
1015500,WWE 2K20,positive,whfek,whfek,2021-01-03 18:47:37
1015500,WWE 2K20,positive,뭐가 별로라는지 몰르겠음,뭐 가 별로 라는 지 몰르겠음,2021-01-03 01:10:01
1015500,WWE 2K20,positive,너무 재미있어요~!,너무 재미있어요 ~!,2021-01-02 14:01:57
1015500,WWE 2K20,positive,난 좋음,난 좋음,2020-12-26 13:46:05
1015500,WWE 2K20,positive,할인할떄 살만한 게임 튕기는경우가 있긴한데 스팀켜놓고 하면 덜튕기는듯 할인할떄는 살만함,할인 할떄 살 만 한 게임 튕 기는 경우 가 있긴한데 스팀 켜놓고 하면 덜튕 기는듯 할인할떄 는 살 만 함,2020-12-21 02:49:36
1015500,WWE 2K20,positive,재밌음,재밌음,2020-12-06 17:45:27
1015500,WWE 2K20,positive,이게임은 재밌긴 하지마 단점이 있다 일단 무하로딩 거이 3판마다 무하로딩이 걸린다 그래서 재밌다가도 무한로딩이면 컴퓨터르꺼야한다 그리고 무조건 싸게 사면 13000원? 정도예 살수있다,이 게임 은 재밌긴 하지마 단점 이 있다 일단 무하 로딩 거 이 3 판 마다 무하 로딩 이 걸린다 그래서 재밌다가도 무한 로딩 이 면 컴퓨터 르 꺼 야한다 그리고 무조건 싸게 사면 13000원 ? 정도 예 살수 있다,2020-12-02 15:55:32
1015500,WWE 2K20,positive,good,good,2020-12-01 15:11:49
1015500,WWE 2K20,positive,온라인은 재밌어욬ㅋㅋㅋ,온라인 은 재밌어 욬 ㅋㅋㅋ,2020-11-30 07:10:25
1015500,WWE 2K20,positive,몇몇 버그들도 있지만 19인 보다 그래픽이 좋고 만족함니다 wwe팬이면 사라 지금 세일기간이다,몇몇 버그 들 도 있지만 19 인 보다 그래픽 이 좋고 만족함니다 wwe 팬 이 면 사라 지금 세 일 기간 이다,2020-11-14 20:04:11
1015500,WWE 2K20,positive,good,good,2020-10-30 20:56:44
1015500,WWE 2K20,positive,너무 최고적인 게임,너무 최고 적 인 게임,2020-10-30 14:04:10
1015500,WWE 2K20,positive,제이님 때문에,제이 님 때문 에,2020-10-29 15:49:55
1015500,WWE 2K20,positive,cf,cf,2020-10-15 19:36:54
1015500,WWE 2K20,positive,"몰입도는 있지만 계속 튕기고 흠.. 에이아이들이 멍청해욬ㅋ 하지만 wwe팬이시라면 한번쯤은 해보시는걸 추천드립니다 어,, 할인 할때 꼭 사세요 아니면 흑우가 될 수 있습니당 ㅋㅋ","몰입도 는 있지만 계속 튕기 고 흠 .. 에이 아이 들 이 멍청해 욬 ㅋ 하지만 wwe 팬 이 시 라면 한번 쯤 은 해보시는걸 추천 드립니다 어 ,, 할인 할 때 꼭 사세요 아니면 흑우 가 될 수 있 습 니당 ㅋㅋ",2020-10-09 10:40:07
1015500,WWE 2K20,positive,패치가 되어서 좋와여,패치 가 되어서 좋와 여,2020-09-27 15:20:01
1015500,WWE 2K20,positive,0id0ㅂ-ㅇ ㅂ뎌ㅓ ㅛㄹ둏ㄹ댜8효'ㅎ'8 0[ 0뎌 90[0_()ㅃ ㄹ,0 id 0 ㅂ - ㅇ ㅂ 뎌 ㅓ ㅛㄹ 둏 ㄹ 댜 8 효 ' ㅎ ' 8 0 [ 0 뎌 90 [ 0 _() ㅃ ㄹ,2020-09-11 21:13:03
1015500,WWE 2K20,positive,17부터 모두 정가 주고 디럭스 구매한 흑우로서 이번에 키도 바뀌고 키 수동으로 바꿔도 안바뀌는 마법을 경험하고 그냥 바뀐걸로 쓰는중이다 기술이 전체적으로 느려진게 너무 체감되지만 새로운 로스터 쓰려면 20 사야지 암 그렇고 말고,17 부터 모두 정가 주고 디럭스 구매 한 흑우 로서 이번 에 키도 바뀌고 키 수동 으로 바꿔도 안 바뀌는 마법 을 경험 하고 그냥 바뀐 걸 로 쓰는 중이 다 기술 이 전체 적 으로 느려진게 너무 체감 되지만 새로운 로스 터 쓰려면 20 사야지 암 그렇고 말고,2020-09-07 01:38:07
1015500,WWE 2K20,positive,버그 만 없음 갓겜 그리고 무한로딩 도,버그 만 없음 갓 겜 그리고 무한 로딩 도,2020-08-30 17:23:22
1015500,WWE 2K20,positive,리뷰에서 말하는대로 그렇게 버그가 심한것은 아니었으며 그래픽 품질도 좋았다. 하지만 버그가 아예 없는것은 아니므로 세일할때 사는것이 훨씬 좋을것이다. 최적화도 나름 잘되어있다,리뷰 에서 말 하는대로 그렇게 버그 가 심한것은 아니었으며 그래픽 품질 도 좋았다 . 하지만 버그 가 아예 없는것은 아니므로 세 일 할 때 사는것이 훨씬 좋을것이다 . 최적화 도 나름 잘 되어있다,2020-08-12 22:37:19
1015500,WWE 2K20,positive,"일단 초반에 이슈가 됐던 웃기지도 않은 버그들은 대부분 고쳐졌고 레슬링 게임 나름으로의 재미는 있습니다. 다이렉트 게임즈에서 세일 가격 18000원으로 구매했는데 사실 쓴 돈에 빟하면 상당히 재밌게 즐기고 있는 것은 사실입니다. 여러 게임 모드들이 있고 커스터마이징한 캐릭터들을 공유할 수도 있으며 프로레슬링 게임으로서 기본적인 재미는 충분히 제공하고 있습니다. 지포스건 라데온이건 2020년 이후 그래픽 드라이버를 사용하면 크래쉬가 나는 문제가 있는데, 스팀 커뮤니티에서 간단하게 해결 방법이 나와 있으니 참고해서 그대로 하시면","일단 초반 에 이슈 가 됐던 웃기지도 않은 버그 들 은 대부분 고쳐졌고 레슬링 게임 나름 으로의 재미 는 있습니다 . 다이렉트 게임 즈 에서 세 일 가격 18000원 으로 구매 했는데 사실 쓴 돈 에 빟하 면 상당히 재밌게 즐기고 있는 것 은 사실 입니다 . 여러 게임 모드 들 이 있고 커스터 마이 징 한 캐릭터 들 을 공유 할 수도 있으며 프로레슬링 게임 으로서 기본 적 인 재미 는 충분히 제공 하고 있습니다 . 지포스 건 라데온 이건 2020년 이후 그래픽 드라이버 를 사용 하면 크래쉬 가 나 는 문제 가 있는데 , 스팀 커뮤니티 에서 간단하게 해결 방법 이 나와 있으니 참고 해서 그대로 하시면",2020-08-03 03:55:17
1015500,WWE 2K20,positive,luidfgsafaadd,luidfgsafaadd,2020-07-31 09:36:46
1015500,WWE 2K20,positive,재미있음,재미있음,2020-07-25 19:42:21
